,utterance,emotion
3294,kyuki mere ghar mein cockroach machhar nahi hai monisha ,contempt
3295,so what deeds i mean tum kisi rishtedaar ko birthday gift bhi de sakti thi na ,neutral
3296,cockroach spray?,surprise
3297,toh kya hua? let me tell you this. monisha pata hai tumhare bhai ne,joy
3298,bolona kya,joy
3299,tumhare bhai ne humare one month anniversary mein humen pet saaf karne wala churan diya tha,neutral
3300,sach? how intelligent,joy
3301,hai na..,joy
3302,gross..dekha tumhare bhai ne kya halat bana diya meri behen ki ,disgust
3303,excuse me deeds meri nanad ko taane marne ki bilkul zarurat nahi alright. ,neutral
3304,oh shut up,neutral
3305,"mammiji aap pareshan mat hoiye, kehte hai na ki shadi vyah toh upar wale ki racha rachaya khel hai ",neutral
3306,marriages are made in punjab ,neutral
3307,marriages are made in heaven,neutral
3308,"so what humara punjab bhi kisi heaven se kam nahi hai. sarso de lehlehate khet, tractor pe baitha mera talli jugalkishor, pata hai kheta vich khada hoke wo gaana bhi gaata hai kinna sona tenu rab ne banaya dil kare dekhta rava ",joy
3309,enough ab ek aur lafz bola na toh i swear i will kill you ,anger
3310,alright isme naraz hone ki kya baat hai deeds and mai sach keh raiya agar rab ne rosesh de vaste koi kudi fix ki hogi na toh wo darwaza kholke apne aap is ghar me chali ayegi ,neutral
3311,yes? ,neutral
3312,chup chap sara kachra uthake bahar pheko come on ,anger
3313,baad mein karungi toh nahi chalega,anger
3314,i said come on ,anger
3315,sahil monisha ,neutral
3316,arey yaar kya batau ye maya bhi ek zabardast kisam ka torture hai,sadness
3317,hai na hai na? lekin sahil manta hi nahi hai,joy
3318,just shut up monisha. kya hua ,neutral
3319,arey aaj rosesh ko ladki sirf dekhen a rahe hai na? uski shadi toh nahi hai na? maya insist kar rahi hai ki suit pehno. ab batao ye shirt me kya burai hai?,neutral
3320,colour dull hai dad iska ,neutral
3321,aur sasta bhi lagta hai,neutral
3322,aur wo cut bhi thoda outdated lag raha hai aur daag bhi laga hai,contempt
3323,bartanwali is shirt k badle mein sifr ek lota ya ek choti si katori degi ,contempt
3324,tum dono bhi kam torture nahi ho ,anger
3325,aye indu,neutral
3326,oh my god think of torture and here he is ,fear
3327,sun sun meri baat toh sun,neutral
3328,aap humari sunte hai ki hum aapki sune,anger
3329,acha tumhare yaha bhi pani nahi aya,neutral
3330,madhu fufa aap yaha kyu aye,neutral
3331,accha acha apne rosesh k liye maine ek ladki dhundi hai,joy
3332,kaun,neutral
3333,ladki ladki ab maine tv toh nahi kaha,neutral
3334,monisha inko yaha ate hue kisine dekha hoga,neutral
3335,pata nahi kyu,neutral
3336,ji karta hai inka gala fordu aur yahi dafna du,anger
3337,"ill handle him, madhu fufa kiski beti hai ",neutral
3338,kiski beti hai are chotu bhai hai na unki beti hai ,joy
3339,wo textile wale?,surprise
3340,napensy road wale nahi nahi mafatlal textile nahi sanghani textile ,neutral
3341,monisha inko yaha ate hue kisine dekha toh nahi hoga na,anger
3342,nahi nahi shakkar bilkul nahi meri dieting jo chal rahi hai no sugar please,joy
3343,aur beta aapko?,joy
3344,baby ko? one cube ,joy
3345,kya naam hai tumhara beta,joy
3346,"payal, baby ka naam payal hai ",joy
3347,thats a nice name,joy
3348,haila pata hai meri cousin sister ka bhi naam payal hai aur uski jo badi behen hai na uska naam panijan hai aur,joy
3349,aur un dono ki mammi ka naam ghungroo hai,joy
3350,indravardhan,anger
3351,"wow payel, maine 19 kavitaye likhi hai payal par. sunau?",joy
3352,pehle payal se baat toh kar lo phir to zindagi bhar sunni hai payal ko tumhari kavitaye bechari ,joy
3353,maya can i just freshen up a little bit ,joy
3354,aree lekin ap fresh toh hai aur khamakha muh dhoengi toh apka makeup kharab ho jayega pillu aunty,neutral
3355,monisha..come i will show you the washroom,neutral
3356,excuse me please ,joy
3357,"monisha freshen up hone ka matlab unhe bathroom jana hai, ",neutral
3358,acchaa,neutral
3359,acha payal beti aap kaha tak padhi hai? acha matlab,joy
3360,"ek minute, we want to know graduate, post graduate? kuch toh padi hai hai na",joy
3361,haan par kitni? o gale tak,neutral
3362,ek minute ek minute main puchti hoon main puchti hoon. aap sirf sir haan ya na me hilake jawab dena haan. graduate? matric? 8th standard? 5th standard? 3rd toh? ,neutral
3363,ye kya ho raha hai monisha ,neutral
3364,kuch nahi mammiji bas humlog pata kar lagane ki koshish kar rahe the ki payal kaha tak padhi hai,joy
3365,o meri payal heart surgeon hai with phd in non invasive cardio therapy,joy
3366,tum heart surgeon ho? ,neutral
3367,matlab doctor?,neutral
3368,wo akhir doctor hai,neutral
3369,doctor hogi shayad lekin adhe ghante tak toh bilkul baat hi nahi ki payal ne,sadness
3370,haha uske ghungroo kho gaye honge isliye khanke nahi ,joy
3371,wo apne patient se kaise baat karti hogi na? matlab maan lijiye ki patient ne puch liya doctor payal mera blood pressure check kijiye. to doctor payal aise react karti hogi. aur agar dusra pateint puche ki doctor payal meri chati mein bechaini si ho rahi hai toh doctor payal ,joy
3372,aur sun sun agar operation ke dauran patient mar gaya toh ,joy
3373,lekin moma ko toh pura shak hai ki wo doctor hogi hi nahi,neutral
3374,haan aur jab maine unse pucha ki agar doctor ho toh stethoscope lekar kyu nahi aye toh usne apni aankhe aie aise aise ki,joy
3375,wo tumhara sawal sunke kiya hoga monisha jab koi ladka dekhne jata hai toh gale mein stethoscope pehenke nahi jata ,contempt
3376,arey lekin agar wo peshe se doctor hai toh maine socha ki ,neutral
3377,"monisha monisha monisha maan lo ki wo airhostess hoti toh kya karti? namashkar, mai shadi karne ayi hoon. kripaya sawal puchne se pehle apni kursi ki peti bandh lijiye ",neutral
3378,daddyji ,neutral
3379,iske aage suniye wo kahegi agar main apko pasabd na padi toh bhagne ke liye char dwar hai do aage ki or do peeche ki or ,joy
3380,radha bai,neutral
3381,good morning madam,neutral
3382,goood morning. paper dena,neutral
3383,haan abhi laati hun,neutral
3384,hello,neutral
3385,good morning monisha,joy
3386,mummy ji?,surprise
3387,"monisha, indravadhan ko abhi tak yaad ni aaya ki aaj kya hai",joy
3388,"accha, wo hawa me virus hai na, to ajeeb si problem ho gyi hai yaadash ki, ni? mujhe bhi kuchh yaad nae rehta.",joy
3389,dus hazar ki shart to yad hai na?,neutral
3390,hello? kon bol rha hai?,neutral
3391,oo enough monisha,anger
3392,hello? ,neutral
3393,"aa jana aaj dopehar ko ek baje mere yahan lunch ke liye. dus hazar rupay lekar aana, okay?",contempt
3394,mem saab paper,neutral
3395,"good, kya hai news me?",joy
3396,petrol price go up,neutral
3397,"aain...mai main headlines ki baat nae kar rhi, mai supplement ki baat kr rahi hun. rajan singhania's party goes on till four am, wow, hume nae bulaya usne. nivedita's party, art show...mumbai's ex mayor excepts public request, 24th february declared national couple's day? o my god, o my god, radha bai ye paper indravadhan ke hath me nae aana chahiye",fear
3398,kyun kya hua?,surprise
3399,"arey mujhe to laga tha ki twenty fourth february ko kuchh bhi nahi hai, ab iss mayor ne twenty fourth february ko national couples day declare kr diya hai",sadness
3400,"arey baap rey, saab ko pata chala to, maya, happy couples day, aisa dikhava karenge na? phir?",fear
3401,"mai apni shart haar jaungi..iss paper ko jala do, just jala do ise",anger
3402,"haan, par sahab ne sahil baba ke yahan se paper mangwaya to?",neutral
3403,yes..sahil's paper,neutral
3404,"haan..haan haan haan, i admit, ki mujhe yaad nii rehta",neutral
3405,good,joy
3406,"lekin ab to btao ki aaj, yaani chaubees february ko kya hai?",neutral
3407,"hahaha...aaj wo din hai, jab mai monisha se dus hazar rupay wasool karne wali hun kyunki mai shart jeet gayi..dede monisha",joy
3408,mummy ji saadhe saat hazar chalenge?,joy
3409,no...ten thousand,neutral
3410,"chaliye, na aapki na meri, saadhe aath hazar..han?",joy
3411,"not a penny more, not a penny less monisha, poore dus hazar. chalo nikalo...aaan...arey...",neutral
3412,monisha..come on...monisha..chhod do,anger
3413,aahaha...yess..yess ahaha..darandan,fear
3414,by the way mom zara btaengi aap hume ki shart kya thi?,neutral
3415,shart ye thi ki mujhe sabit karna tha ki mardon ko special taareekhein yaad ni rehti,joy
3416,"nahi rehti to nahi rehti, lekin ye to batao aaj hai kya?",anger
3417,kuchh nae,neutral
3418,hein?,surprise
3419,yes darling...haha..twenty fourth february ko kuchh nae hua hai,joy
3420,"matlab dad, rosesh uss din sach bol rha tha",neutral
3421,yaani shart jeetne ke liye tumne mujhe bevkoof banaya?,anger
3422,aur mujhe kangaal. daddy ji aapko yaad rakhna chahiye tha na ki aaj kuchh bhi nahi hai,sadness
3423,indravadhan,joy
3424,hello..hahaha..accha hua na maine apne mulaqat ki pehli anniversary k bare me btaya nahi maya ko..haan nhi to phas jata mai..pkka,joy
3425,kisse baat kr rhe the tum intercom par?,fear
3426,mai aa...haan watchman se,neutral
3427,you mean twenty fourth february ko tumhari aur watchman ki mulaqat ki pehli anniversary hai,contempt
3428,kya keh rahi ho..maine..aisa kuchh nahi kaha maine,neutral
3429,oo yes tumne aisa hi kaha. don't lie indu,anger
3430,good night,neutral
3431,"indu..you..kon hogi? mrs. billeymorio, seventh floor..ni ni..she's too old for indu.. revati kapoor.. fifth floor..eh she smells",disgust
3432,"hello sahil, agar mardon ko tareekhein yaad nahi rehti, to auratein shaq karna nahi chhod sakti..baj gaye maya ke barah",joy
3433,shivara siddaqui? o my god wo to divorcy bhi hai..third floor pe rehti..ya wo gayatri khanna..second floor...she's a husband snatcher..kon hogi wo?,fear
3434,iss baar mai monisha se dus hazar rupay wasool krk rahungi. neend haram ho jaegi bechari ki paise dete hue,contempt
3435,aapko maza aaega?,neutral
3436,"kaise sawal kr rhe ho, monisha ki neend haram hogi to mujhe maza aaega? of course mujhe maza aaega. okay, gle ek hafte me, koi aisa din chunna hai, jahan sach much kuchh bhi na hua ho",neutral
3437,"you mean, na kuch accha na kuchh bura?",neutral
3438,na accha na bura. so let's start...eighteenth february?,neutral
3439,eighteenth february..lemme see lemme see,neutral
3440,kuchh hua tha uss din?,neutral
3441,eela phui ki marriage anniversary hai,neutral
3442,"okay. so accha din, not possible. nineteenth february?",neutral
3443,nineteenth feb ko...sixth floor k advani uncle ki birthday party hai,neutral
3444,"accha din, not possible. twentieth february?",neutral
3445,twentieth feb ko to sahil bhai aur bhabhi ki sgai hui thi na..,neutral
3446,o..bura din out,contempt
3447,uhuhu,joy
3448,twenty fourth?,neutral
3449,"kuchh to hua tha moma, something very important",neutral
3450,kisi ki birthday hai?,neutral
3451,nae,neutral
3452,"to, kisi ki anniversary? grah pravesh? death anniversary?",neutral
3453,"ni moma, something very important. twentieth february ko to aapne mujhe triple polio ka dose dilwaya tha moma",neutral
3454,"aann haha oo god lekin hum use celebrate to ni kr skte na beta. i meann cake pe kya likhenge, happy first polio dose day? so, twenty fourth february is perfect. ab aaega maza, indravardhan.",joy
3455,"i'm getting the paper...arey, hi mom, accha hua aap mili, ye paper kisne phaad diya?  dekhiye to, hahah, um...are you alright? nae aap kuchh ajeeb pesh aa ri hain",neutral
3456,"sahil, nashta banau?",neutral
3457,"umm, haan haan, mom aap aaengi nashta karne?",neutral
3458,raat ki khichadi chalegi na nashte me?,joy
3459,"come on soniya, please btao soniya, twenty fourth february ko kya hai? dad is getting paranoid, pagal ho rahe hain wo",anger
3460,ooo,surprise
3461,kuchh aaya dimag me?,joy
3462,sinus,sadness
3463,happy sinus day?,joy
3464,"arey ni ni, mera sinus",sadness
3465,yess..got it. twenty fourth february ko pehla gas cooking range market me aaya tha,neutral
3466,"accha haan, gas cooking khoj day mana rahe hain mom and dad. hai na dushyant? don't you think this is utter rubbish. i mean gas cooking range ka mom and dad se kya sambandh hai? ",contempt
3467,"well, mom cooking range istemaal karti hain",neutral
3468,aur dad?,neutral
3469,"dad ko gas hai. see, sambandh hai hi nhi aisa to nahi hai na?",joy
3470,"phir to tumhe borewell khoj din manana chahiye, kyunki soniya ko well ka paani accha lagta hai,",contempt
3471,"aur tum bore ho..so keep quite..dushhhhh, sahil bhaia...chaubees feb... mom..monisha bhabhi..khicha-taani hone wali hai ",neutral
3472,arey wo to koi bhi tareekh ko ho sakti hai,neutral
3473,monisha bhabhi...mom...dono me se kisi ek ko dus hazar ka tohfa milne wala hai,neutral
3474,"tokia mobile phone, three three six zero? wo nine thousand eight hundred ka aata hai",neutral
3475,hi sahil,neutral
3476,hi dad,neutral
3477,accha.. ye to bta ye do me se konsa accha lagega?,joy
3478,"blue wala paheniye, isme aap duble lagenge",neutral
3479,bus?,surprise
3480,haan aur kya?,neutral
3481,kyun pehen rha hun ye nhi janna chahega tu?,sadness
3482,"dad, of course aap kisi party me ja rhe honge isiliye pucch rhe hain na?",neutral
3483,"haha..arrey, koi aisi waisi mamuli party nhi, twenty fourth february ki party me pehnne wala hun",joy
3484,"wow, twenty fourth february, kya baat hai",joy
3485,tujhe pta hai na twenty fourth february ko kya hai?,joy
3486,nai,neutral
3487,"sahil, twenty fourth february, yani tere maa baap k zindagi ka itna bada din, aur tujhe malum nhi hai?",anger
3488,haha...i'm sorry dad mujhe sach much yaad nhi kya hai kya twenty fourth february ko?,neutral
3489,mujhe bhi malum nae hai,sadness
3490,to fir haha,joy
3491,par wo.wo maya zabardast taiyyari me lagi hui hai,sadness
3492,"hold it, hold it dad, kal monisha mujhse birthdays and anniversaries ke bare me puchh rahi thi",neutral
3493,accha,neutral
3494,iska matlab twenty fourth february ko hundred percent kuchh special hai,joy
3495,par kya special hai ye to suno,neutral
3496,hi guys,neutral
3497,hi,neutral
3498,hi,neutral
3499,"dad, twenty fourth february ko mai aapko silk ki tie dena chahta hun. i like this one the best. do you like it?",neutral
3500,"ise pta hai..umhuhuh, arey of course munna, lovely tie",joy
3501,aur moma ko mai apni likhi hui nayi kavita dena chahta hun,neutral
3502,wo to best hai,neutral
3503,"haan, rosesh beta, mujhe btaega, please, ki twenty fourth february ko kya hai?",neutral
3504,"nae, lekin moma ko jarur btaunga ki aapko yaad ni hai",anger
3505,"hah..haha..ha..dekha, mujhe malum tha ki ye chamcha bta dene ki dhamki dega. wo to accha hua mujhe malum hai ki twenty fourth february ko kya hai",joy
3506,"woah dad, monisha bhabhi",neutral
3507,"sahil, iss baar to usse ugalwana hi padega ki chaubeesh february ko kya hai",anger
3508,magar ye ni bolega dad,anger
3509,agar hosh me hoga to ni bolega na? agar nashe me dhut hua to? hehe haha,joy
3510,"lele, munna",neutral
3511,"nae, mai bathroom jakr aata hun",neutral
3512,abhi hi bathroom jana tha ise,neutral
3513,dad ye ni manega,neutral
3514,arey mai ise manva k rahunga,neutral
3515,sahil bhai,fear
3516,haan,neutral
3517,"sofa ko pakad ke rakhiyega, kabse wo idhar udhar dol rha hai",fear
3518,haan wo sofe ne jyada pi rakhi hai na isiliye. kal subeh tak theek ho jaega wo,joy
3519,roshu aa aa baith,neutral
3520,bathroom to jaane...,neutral
3521,"kuchh ni bathroom wathroom...aa baith, baith ja, very good. kuchh k haega?khaega kuchh?",anger
3522,"ni ni moma ke sath khaunga, sahil bhai",neutral
3523,haan,neutral
3524,moma mujhe bohot acchi lgti hai,joy
3525,i know that,joy
3526,moma pari hai pari,neutral
3527,aur mai?,neutral
3528,rakshas,neutral
3529,hahah to munna twenty fourth february ko ye rakshas aur pari ka konsa special din hai?,joy
3530,"twenty fourth february ko, twenty fourth february ko..",neutral
3531,kya,neutral
3532,"twenty fourth february ko, ",neutral
3533,aage bol na,anger
3534,twenty fourth february ko kuchh nae hai,neutral
3535,ye aise ni manega maya bhakt..isko aur pilata hun..,anger
3536,"ni ni dad, i'll handle him. rosesh, hello, han, ab btao twenty fourth february ko kya hai?",joy
3537,twenty fourth february ko actually twenty four february ko..,neutral
3538,"ae, rosesh, rosesh..ro..",anger
3539,"dad, so gya ye",anger
3540,"so gya, meri puri bottle khatam karke so gya kambakhatab..ab kya hoga sahil?",fear
3541,hi maya,joy
3542,ye pehnu ya ye pehnu?,neutral
3543,"um..koi bhi pehno, dono me tum ni jachti",contempt
3544,"aan...btao na konsi pehnu, jo tum kahoge wo mai pehnungi",neutral
3545,"lekin ye to btao, ki aaj occassion kya hai?",joy
3546,"aaj ni, chaubees tareekh ko. twenty fourth february",neutral
3547,aaan...twenty fourth feb..uhh....valentine's day,joy
3548,valentine's day? ,contempt
3549,belated valentine's day,joy
3550,"dus din belated? indu, natak mat karo. jaise ki tumhe pta nhi ki twenty fourth feb ko kya hai",neutral
3551,"of course mujhe pta hai...lekin, ek baar tum kaho na..you know twenty fourth february ke baare me jab tum kehti ho na..to aur accha lgta hai",joy
3552,"you know, tum aisi baatein karoge to sbko kagega ki tumhe sach much ni pta ki twenty fourth february ko kya hai",sadness
3553,"what non-sense, mujhe pta ni hoga ki twenty fourth feb ko kya hai? haha",joy
3554,exactly. tumhare to chehre pe likha hai ki twenty fourth february ko kya hai,neutral
3555,hai na. to mai bhi padh k dekh leta hun ki kya likha hai,joy
3556,indu,neutral
3557,haan,joy
3558,iss saal mai chahti hun ki twenty fourth february humari zindagi ka sabse yaadgaar din bane,joy
3559,"of course my sweety pie, why not..ummmaah..of course..hahah",joy
3560,thank you darling,joy
3561,"your welcome. hey bhagwan, kya hua tha twenty fourth february ko? aah..if she can do it..so can i",neutral
3562,"okay teen alag alag sizes ke diaries hain, and different envelopes, gift envelopes, aur yeh dekho, this is so sweet, just a little thank you note",joy
3563,"haan maa, main baaju waale ghar mein hoon. hehe, acchha. kyun",joy
3564,"monisha, shh, zara softly please",contempt
3565,"mummy ji, dilli baat krri hun na. maa, meri saas ne ghar me kagaj ki sale lgai hai",joy
3566,"monishaa.., humne recycled paper products ka exhibition kiya hai. ise kagaj ki sale keh kar please itna downmarket mat bnao. abhi phone rkh do tum.",contempt
3567,mai baad me baat karti hun,neutral
3568,"mem saab, saare envelope khatam ho gye",joy
3569,"lovely, fantastic",joy
3570,"maya..filhal tum mere chehre ko dekho na..kitna pareshan dukhi, aur upset hun mai..please mat jao",sadness
3571,mujhe tum rukne ki ek wajah do indu,neutral
3572,"radha bai chhutti pe gayi hai..i mean, i mean..maya suno..ghar ka washing machine bhi to nahi chal raha hai aur..",neutral
3573,mumbai me chhe sau acchi laundaries hain..,anger
3574,correction..hazar se jyada laundaries hain,neutral
3575,mai acchi laundaries ki baat kr rahi hun indravadhan...chaar sau laundaries suburbs me hain..jahan par middle class auratein sofa cum bed covers dhulwati hain...mai..,contempt
3576,okay..okay..mm...meri khatir mat jao,sadness
3577,"tumhari wajah se to ja rahi hun, tumhari khatir kyun rukun main?",anger
3578,"maya mai tumhari..har shiqayat door kr dunga...um..thodi bohot...doodh bhi piyunga..aadha cup? roz rosesh ke sath pyaar...ni..raat ko brush karunga,,jootey yahan wahan nahi phekunga..mera tauliya...",neutral
3579,"indu..indu..indu..stop.and listen please, agar tum mujhe sach much rokna chahte ho..then make me fall in love with you again",neutral
3580,oh...ye to bada aasan hai..hi babe..wanna be my mate?,neutral
3581,no...but..if you want me to be your mate..then you better woo me..,neutral
3582,oo i surely will...,joy
3583,chaar din indravadhan...chaar din ke andar andar..agar tum mujhe acche lagne lage..to mai yahan rukungi..warna..,neutral
3584,tum yahan jarur rukogi..and i promise you that..,neutral
3585,moma,neutral
3586,hi baby,joy
3587,mai bhi chalun aapke sath sudhanshu ke island par?,neutral
3588,"oo sweetie, mai apne sath koi bhi aisi cheez nahi le jana chahti jo mujhe apni pichhali zindagi ki yaad dilaye. accha mujhe btao, inn sadiyon me se kon kon si le jaun?",neutral
3589,"ye crease aur chiffon sarees to acche hain, lekin aap cotton sarees wahan kaise maintain karenge?",neutral
3590,"vitthal ja rha hai na mere sath, to wo karega istree",neutral
3591,lekin sudhanshu ne to kaha tha ki wahan pe electricity to hai hi nhi..,neutral
3592,"haan to mai generators, batteries, connections, sab le ja rahi hun apne sath",neutral
3593,generator?,surprise
3594,haa aan...warna air conditioner kaise chalaungi wahan?,neutral
3595,"to sudhanshu se aapne puccha hai, agar use aitaraaz hoga to..",neutral
3596,"wo to  meri har khushi me khush hai..pata hai, jab maine kaha ki carpenter saath le chalein, too usne mana ni kiya",joy
3597,aap carpenter ko sath kyun lekar ja rahi hain moma?,neutral
3598,"lakadi ki extra cabins banwani padengi na, warna radha bai kahan soegi?",neutral
3599,aap radha bai ko bhi sath lekar ja rahi hain moma?,neutral
3600,"haan, humara jo naya vaccum cleaner hai, wo itna complicated hai, sirf radha bai hi use chalana janti hai...eh..radha bai",neutral
3601,moma..mujhe bhi apne sath le chaliye na please,sadness
3602,oo rosesh...beta mai apni pichhali zindagi ki koi cheez sath le jaungi to wo mujhe apni past life bhulane nahi degi,sadness
3603,"okay...i understand..lekin wahan bohot macchhar honge moma, aap wahan kaise reh paengi",fear
3604,"agar kuchh pana hai, kuchh khona bhi padta hai na. and besides, maine pest-control walon ko wahan bhej diya hai. you don't worry about me darling, mai sab kuchh bardash kar lungi",sadness
3605,lekin mai aapke bina nae jee paunga moma...nae jee paunga..,sadness
3606,rosesh...rosesh darling..suno please,fear
3607,mom..aapki suitcases ready hain..yahan par do badi wali..aur ye..hand baggage,neutral
3608,"okay..that's all fine..magar mujhe mera leather pouch nae mil raha hai..ab ye paise, aur tickets wagera kahan rakhungi mai..?",fear
3609,mummy ji..mere paas ek thaila hai..,joy
3610,thaila?,contempt
3611,"haan...sahil ka baniyan phat gaya tha na..to maine use neeche se silwa kar, thaila bana liya hai..",joy
3612,very efficient..i must say..lekin mom aisa baniyan bahar lekar jaengi to accha nae dikhega na?,fear
3613,"pata hi nahi chalega sahil, uspar se maine janardhan baniyan ki tag jo nikaal di hai",joy
3614,tum...janardhan brand ki baniyan pehante ho sahil?,contempt
3615,haan,neutral
3616,mere paas leather pouch hai..,neutral
3617,wo pehna karo..wo better rahega..,contempt
3618,"moma, maine isme aapke vitamins, sunblock lotion aur tissues rakh diye ",neutral
3619,thank you sweetie,joy
3620,moma...mujhe aapki bohot yaad aaegi ,sadness
3621,baby,sadness
3622,maine aapki vidai ke liye do kavitayein bhi likhi hain,sadness
3623,really? padho padho,joy
3624,isne do kavitayein likhi hain?,fear
3625,"suniye, chabduk-chabduk-chabduk",neutral
3626,"ah..just a minute, excuse me",neutral
3627,bhagwan hi honge..kavita ke torture se bacha liya,neutral
3628,kya kya kya?,neutral
3629,hi sudhanshu,joy
3630,hi...all set?,joy
3631,hmm..absolutely,joy
3632,indravadhan kaha pe hai? mai unse milna chahta tha..may i maya? ,neutral
3633,sudhanshu...,surprise
3634,kya hua maya?,neutral
3635,"aap..ma..par nahi atke..matlab..mai, milna chahta hun, maya, may i...chaar ma",surprise
3636,pyaar hua to haqlana shuru..aur haqlana band matlab pyaar phus?,joy
3637,monisha..phus is so pedastrian and vulgar..,disgust
3638,right..huh..maya..,neutral
3639,ye kahan ja rahe hain?,neutral
3640,ye pregnant pause hai bhabhi,neutral
3641,kon pregnant hai?,neutral
3642,oh monisha..ek minute ke liye chup karogi please...haan bolo sudhanshu..,joy
3643,"pyar ne ek naya mod le liya hai maya, accha hua ki tumne indravadhan ke sath suleh kar li..tum mere sath rehti bhi..tab bhi indravadhan humare beech hi rehta..shiqayatein hi sahi, lekin tum mere sath usi ki baatein karti ho..you still love him..right? rahi mere pyaar ki baat, to maine pyaar kiya tumhari pratima se..apni muse, jo ki ab,,admiration ka roop le chuki hai..love has metamorphs into everlasting inspiration",neutral
3644,matlab?,neutral
3645,baad me btaunga,neutral
3646,o that's so sweet..,joy
3647,"may you live happily ever after with indravadhan...aahh, the devil appears, good luck indravadhan..mauritius me second honeymoon jam ke manana",joy
3648,"oo you bet, i'm all prepared, what do you know..haha..ye dekho..mai to flavoured..",joy
3649,um...dad graphic details batane ki jarurat nahi hai,joy
3650,kya?,neutral
3651,bye maya ,neutral
3652,bye ,joy
3653,bye sudhanshu,joy
3654,"arey sudhanshu bhaia, ek minute rukiye..maine aapse chhutkara paane ke liye, lakkad baba se mannat maangi thi..unka charnamitra to peete jaiye..ek minute, ",joy
3655,"monisha, it's okay",contempt
3656,"ni...tee shirt mat utarna sudhanshu..i'm all prepared this time, my boys are at my command..come on...go..",joy
3657,yeah ,joy
3658,kal shaam se mummy ji ek hazar chaar sau seiteens baar chheenk chuki hain,neutral
3659,tum unki chheenkein gin rahi thi?,surprise
3660,"mai nahi, rosesh bhaia...kuchh dino me mummy ji ghar chhod ke ja rahi hain na, to bechare din raat mummy ji ko dekhte rehte hain",sadness
3661,"monisha, bohot jald hi agar humne kuchh nahi kiya na, to ye sudhanshu mom ki zindagi me puri tarah ghus jaega...think of something...think of something..",neutral
3662,sahil...tum to keh rahe the ki mummy ji ko ghar chhod ke jaane ka poora haq hai,contempt
3663,"haan hai..lekin mom ko fir ek baar pyaar me girane ke liye, dad ki madad karne ka hume bhi poora haq hai",neutral
3664,"haan....to jaldi kuchh socho na sahil, agar humne kuchh nae kiya..to ek, bohot complicated sa gana sunna padega",sadness
3665,gana?,surprise
3666,haan...gana....,fear
3667,aaaaaannneeee doooo naaaaa...,neutral
3668,hey...dooooor jaaaaao naaaaa..,anger
3669,"chhu lo na, chhu lo na....mujhe chhu lo na, chhu lo na darling...chhu lo naaa...chhu lo naa..chhu lo na...",joy
3670,ooo...chhuuuu neeee....dooooo naaaa...,neutral
3671,hatt...doooor jaaaa oooo naaaa...mauka milte hi shart nikaaltaa hai,contempt
3672,indu to mann hi mann me jalta hai..,contempt
3673,pyaar hote hi mai haqlaata hun...m m m mayaaa..japte rehta hun...,neutral
3674,chhu lo na chhu lo na....mujhe chhu lo na chhu lo na...darling...chhuu uu loo oo naaa aaa aaa ,joy
3675,kya hua?,fear
3676,kuchh nae,neutral
3677,pyaase hothon ki jo kahani hai..,neutral
3678,"radha baai, vitthal...",neutral
3679,maya aaj saare naukaron ko chhutti...sirf tum..aur mai..,joy
3680,oo...aur rosesh..?,neutral
3681,maine kaha na...sare naukaron ko chhutti..,joy
3682,that is not..helping you inravadhan,anger
3683,"sorry sorry, ab mai majak me bhi uss ka..i mean rosesh darling ko nae chidhaunga..okay? o..allow me, allow me allow me...that's it, and..umhm..aaah..ye..okay okay",neutral
3684,thank you,contempt
3685,okay..now..eat this..and tell me how i did,joy
3686,ye...kya hai?,neutral
3687,stirred fired vegetable and garlic sauce with dried ginger ,neutral
3688,ye tumne bnaya hai?,neutral
3689,"of course, i mean thodi bohot recepie ka sahara liya aur concoction..you know..",neutral
3690,that's okay...iski boo kuchh..theek nae lag rahi hai,disgust
3691,kya keh ri ho,neutral
3692,there's something wrong with this..kuchh ajeeb hai ye..,disgust
3693,aisa kaise ho sakta hai maya maine ise do baar garam paani me dhoya hai..wo bhi pakane k baad,neutral
3694,tumne vegetables ko pakaane ke baad dhoya?,contempt
3695,"haan haha..i'll tell you what happened, mai stir fry karte waqt jab ucchhal raha tha na, to kuchh vegetables, frying pan ki bajaye...",joy
3696,neeche farsh pe gir gaye?,anger
3697,haha...lekin farsh bilkul saaf thi haan...maine phenyl se use clean ki thi..aur wo cockroach ka spray bhi chhidka tha raat ko,joy
3698,"ye vegetables, cockroach spray wale farsh pe gire the?",anger
3699,"come on maya, i'm trying to woo you",neutral
3700,haan to?,anger
3701,isliye to maine saaf dhoye the sare vegetables..sabun ke paani me,neutral
3702,tumne ye vegetables sabun ke paani me dhoye hain?,contempt
3703,haa aan..kyun?,neutral
3704,no wonder isme se smell aa rahi hai,disgust
3705,smell aa rahi hai? ,surprise
3706,"ni ni..hang on, hang on, ye smell kisi aur cheez ki hai",neutral
3707,"maya kisi aur cheez ki kaise ho sakti hai, vitthal to subeh se aaya hi nahi aur radha bai to aaj naha kar aai thi",neutral
3708,gas,anger
3709,na..haah..come on..mujhe koi gas-wais nahi hua..halanki do glass doodh mai har roz peeta hun,neutral
3710,indravadhan..tumne...,anger
3711,kya hai,anger
3712,...gas stove on rakha hai,anger
3713,konsa..haaww,surprise
