,utterance,emotion
3595,यह आपके और राहेल और बच्चे के साथ बहुत जटिल है।,sadness
3596,रॉस We have to be strong ठीक है मैं क्या मैं कर सकता हूँ आपको याद रखने के लिए,sadness
3603,दुल्हन पत्रिकाओं,surprise
3605,हे मेरे परमेश्वर।,surprise
3608,आपने क्या किया,surprise
3612,वाह,surprise
3618,ठीक है देखो पर्याप्त है,anger
3626,वास्तव में हमने कैसे किया,surprise
3628,मैं क्या कर सकता हूँ,surprise
3629,प्रतीक्षा करें प्रतीक्षा करें शायद वह,surprise
3631,नहीं मैं परवाह नहीं करता कि मेरे हार्मोन क्या कर रहे हैं मैं सिर्फ कुछ यादृच्छिक आदमी के साथ ऐसा करने के लिए नहीं जा रहा हूँ,disgust
3637,मुझे पता है कि शायद मुझे यह भी नहीं कहना चाहिए लेकिन मैं आपके द्वारा पूरी तरह से डर रहा हूं।,fear
3638,वास्तव में मुझे,surprise
3640,हे मेरे देवता,surprise
3643,हाँ यह बहुत अच्छा होगा। मैं इसे प्यार करता हूँ।,joy
3647,बाय एक जोड़तोड़ क्या है।,disgust
3648,चांदलर मैं सही अंगूठी पाया।,joy
3650,हे मेरे भगवान चांदलर जिसे आपने चुना है वह चला गया है। यह,anger
3651,क्या,surprise
3652,उन्होंने आपको जेल में डाल दिया,surprise
3653,Phoebe मैं तुम्हें अंगूठी की रक्षा करने के लिए कहा,anger
3659,ओह बैरी आओ यह सब भी है।,surprise
3660,हम कर सकते हैं हम Aruba जा सकते हैं,joy
3661,जब मैं वहाँ गया था क्या हमारे हनीमून था यह था उह  यह वास्तव में अच्छा था।,sadness
3662,आप इसे पसंद करेंगे।,sadness
3666,क्या,surprise
3667,हे मेरे परमेश्वर क्या करता है,surprise
3669,मैं बच्चा हूँ मैं बच्चा हूँ,joy
3677,क्या,surprise
3678,निश्चित रूप से अब मैं,fear
3680,हाँ लेकिन मैं नहीं जानता,fear
3681,नहीं यह हम वापस आ सकते हैं और हम इन लोगों को धोखा दे सकते हैं,joy
3687,हे,surprise
3688,हे,surprise
3691,आप,surprise
3693,ओके मेरा शब्द वे स्नग हैं।,surprise
3696,हाय,joy
3698,मैं क्या कर सकता हूँ,sadness
3699,क्या आप गंभीर हैं चांदलर हम दो दिन पहले एक पूरे पनीर केक खाया करते हैं और आप अधिक चाहते हैं,surprise
3702,यह एक बहुत अमीर अभी तक प्रकाश के साथ एक मक्खन crumbly graham cracker crust था क्रीम पनीर वाह,surprise
3703,मेरे पूरे मुंह सिर्फ लार,joy
3708,अहम,surprise
3710,स्कूटर,surprise
3712,नहीं नहीं मैं इसे प्यार करता हूँ। धन्यवाद।,joy
3713,ओके अगले हमारी ओपन करें। हमारा अनुसरण करो,joy
3717,जन्मदिन मुबारक,joy
3720,कि मजाकिया हाँ,joy
3721,नहीं नहीं यह मजाक था,surprise
3722,नहीं मैं जानता हूँ मैं इसे प्राप्त करता हूँ यह मजाकिया है,joy
3727,आदमी क्या आपको लगता है कि उसके पास केवल एक महिला के साथ यौन संबंध है,surprise
3728,मुझे लगता है कि यह बहुत अच्छा है। Yknow यह मीठा है यह रोमांटिक है।,joy
3729,वास्तव में,surprise
3730,नहीं आप कबीले आदमी का एक सनकी।,disgust
3734,मज़ा कहाँ मज़ा था मुझे विशेष रूप से बताएं कौन सा हिस्सा मजेदार हिस्सा था मैं कहाँ हूँ,disgust
3736,बच्चे मुझे क्षमा करें उह यह है कि यह मेरा puck है।,anger
3738,हाँ कैसे Cmere Gimme,anger
3739,हे हे मेरे ईआर में कोई कठोर पकड़ नहीं,anger
3740,मुझे मेरे दोस्त,anger
3741, अब,anger
3742,ओह देखो मुझे शुभकामनाएं,joy
3746,क्या वह क्या है Oh hi Mrs Green,surprise
3747,हाय,joy
3748,मुझे बहुत खुशी है कि आप इसे बना सकते हैं।,joy
3750,हाँ मैं जानता हूँ। क्या एक कम व्यक्ति के साथ हम छोटी बात करना चाहते हैं।,joy
3751,Phoebe Sandra यह क्या है,surprise
3753,Julie cervix एक सात सेंटीमीटर है कि चार उंगलियों के बारे में। डॉक्टर मुझे खुद को महसूस करते हैं।,joy
3755,नहीं मुझे नहीं लगता कि हम क्या करेंगे,disgust
3756,हम क्यों नहीं करते,disgust
3759,हाँ धन्यवाद।,joy
3763,नहीं रॉस रॉस रॉस मेरे बच्चे को कोई पिता नहीं है,fear
3766,क्या आप एक दूसरे को बदल सकते हैं वह क्या चाहती है,fear
3768,ओह मोनिका हम इतने खेद हैं।,sadness
3769,सबसे पहले आपको एक ब्राइडल शॉवर फेंकने के लिए भूल जाते हैं।,sadness
3771,आप पहले से ही यह था,surprise
3774,हाँ हम आपको एक बड़ा आश्चर्य और एक महान बौछार फेंकना चाहते थे और अब आप क्या करते हैं,sadness
3775,हमने सब कुछ बर्बाद कर दिया।,sadness
3776,उग,sadness
3777,नहीं क्या किया यह वास्तव में मीठा था।,joy
3778,और यह अच्छा काम करता है।,joy
3779,आप क्या करते हैं,surprise
3780,मैं वास्तव में प्यार करता हूँ,joy
3781,मेरा मतलब है मैं उन सभी प्रस्तुतियों को प्राप्त करता हूं जिन्हें मैं नहीं जानता,joy
3785,आप इसे देख सकते हैं,joy
3791,क्या मैं आपसे पूछता हूँ,surprise
3792,,surprise
3793, ,surprise
3795,मैं तुम्हें वहाँ डर गया।,sadness
3798,हे,surprise
3799,मैंने आपको काम पर पहुंचने की कोशिश की। वहाँएक आग हो जाओ।,sadness
3800,क्या हे मेरे परमेश्वर क्या हुआ,surprise
3802,ठीक है। क्या हर कोई ठीक हो गया,fear
3804,ओह यह क्या है,surprise
3805,No Phoebe dont look आप क्या देखना चाहते हैं,fear
3810,चार कृपया। मैं धन्यवाद।,fear
3813,ओह,surprise
3814,मैं तुम्हें बताता हूँ मैं चाहता हूँ,joy
3815,ओह कि बहुत बुरा,sadness
3817,नमस्कार क्या आप किसी अन्य चीज़ के बारे में बात करने में सक्षम हैं,disgust
3820,हे लड़ाई शुरू,joy
3835,ठीक है कि,sadness
3836,श्री बोमोंट,joy
3837,ओह कि महान मेरे दोस्त Joey फिल्म व्यवसाय में।,joy
3841,क्या आप मानते हैं,surprise
3842,Ynow III hasnt speak to her in दस साल,surprise
3843,हाँ मैं हमेशा हावी से नफरत करता हूँ।,disgust
3844,नहीं कोई आप कैसे कर रहे हैं मेरा मतलब है कि पहले कप कॉफी नहीं,disgust
3845,तंत्रिका huh,disgust
3846,हाँ,disgust
3848,अच्छा अच्छा लंबे समय तक नहीं देखा।,joy
3852,ओह यह,surprise
3853,हाँ। वह,surprise
3857,आप जोय के साथ चारों ओर झुकना चाहते हैं,surprise
3858,हाँ,joy
3859,जब तक मैं उसके बारे में सपना देखता हूँ तब तक मैं इसे अपने सिर से बाहर नहीं जा सकता,joy
3860,क्या है,surprise
3861,कौन आप कौन जानते हैं कि दोस्त क्या हैं,surprise
3865,दोनों,surprise
3869,ठीक है सब ठीक है आप सही हैं,sadness
3870,क्या आप खाना पका रहे हैं,surprise
3871,हे मेरे परमेश्वर आप यहाँ कैसे वापस आए,surprise
3872,फायर अलार्म ओह हाय अधिकारी फायरमैन क्या मैं आपकी मदद कर सकता हूं,surprise
3873,आप कैसे जानते हैं,fear
3874,अगली बार जब आप एक कचरा चुटकुले में एक फायर अलार्म डंप करना चाहते हैं तो क्या करें इसे एक कंबल में लपेटो जो कहती है Phoebe Buffay of Monica नहीं।,disgust
3875,क्या तुम क्या आपके पास एक खोज वारंट है क्योंकि पिछली बार मैंने यह जांच की कि यह अभी भी अमेरिका था,anger
3877,वहाँ,surprise
3878,धन्यवाद,joy
3879,धन्यवाद,joy
3880,वहाँ एक रीसेट बटन,surprise
3881,मेरा परमेश्वर,surprise
3882,क्यों नहीं,surprise
3884,यहीं है,joy
3885,ओह,surprise
3886,ओह भगवान,joy
3888,रिंग दैमिट रिंग,anger
3890,हे आप जानते हैं कि हमारा फ़ोन काम नहीं कर रहा है,surprise
3891,क्या,surprise
3893,मैंने इसे बंद कर दिया। मैं इसे बंद कर दिया,anger
3895,एनजीएचएच,anger
3901,Yeah वहाँ Sidney है ओह यह है सिडनी की एक महिला है।,surprise
3912,मुझे लगता है,surprise
3914,ओह मैं,surprise
3915,यह बेकार है,anger
3917,मुझे विश्वास नहीं हो सकता कि Phoebe का गोना उसके बच्चे हैं,surprise
3918,मुझे पता है यह सुंदर है। आश्चर्यजनक,joy
3925,जब हम सेंट्रल पार्क गए और किराए पर नावें गए यह मजेदार था।,joy
3926,हाँ। वह एक वाइकिंग की तरह रो सकता था।,joy
3932,उन्होंने कहा कि वह वास्तव में तुम लोगों को याद करते हैं।,sadness
3933,आप एक मोटे दिन huh था  cmere।,sadness
3934,आपको प्यार करो।,joy
3937,फिर भी रोना,surprise
3944,Anyway uh महान विचार,joy
3948,महान,joy
3957,मेरा मतलब है कि आपने पिछले घंटों में यहां एक कार देखी है,fear
3959,नहीं नहीं मैं रॉस के साथ एक कार में नहीं मिल रहा हूँ हम सिर्फ यहाँ रहना होगा,anger
3960,लेकिन अगर ,fear
3961,नहीं मैं उसके साथ एक कार में नहीं मिल रहा हूँ तुम,anger
3962,ओह अच्छा ओह जो और चांदलर वापस आ गए हैं।,joy
3964,हाँ आप क्या आप गलत हैं,anger
3967,ठीक है हम,joy
3968,चांदलर,surprise
3969,आपके चेहरे के साथ क्या मायने रखता है,surprise
3970,क्या,anger
3972,Aww,joy
3973,क्या हम प्यार करते हैं,joy
3974,निश्चित रूप से,joy
3976,क्या यह मेरे लिए इतना आसान बनाता है,joy
3981,वास्तव में,joy
3987,Joey,surprise
3988,हाँ,joy
3989,क्या आप गंभीर हैं,surprise
3990,यदि आप किसी भी समय शादी कर रहे हैं तो आप किस समय शादी कर सकते हैं,surprise
3992,Oh गंभीरता से,surprise
3995,हाँ,joy
3997,हाँ हम Knicks खेल गए।,joy
3998,फिर हम इस बार गए और उन्होंने इन सभी महिलाओं के साथ हमें हुक किया,joy
3999,वोमेन आप पुराने महिलाओं की तरह मतलब,disgust
4002,और मैं कभी भी बार में लड़कियों से बात करने में सक्षम नहीं था लेकिन मैं पिछले रात  फोन नंबर की तरह मिला।,surprise
4003,कि वाह आदमी तो जॉय,surprise
4005,हाँ,surprise
4007,Phoebe हम आपको बहुत गर्व है तुम अद्भुत हो,joy
4009,क्या आपने अभी क्या कहा,surprise
4010,आप एक दूसरे को कड़ी मेहनत करते हैं और हम रात भर शादी करते हैं।,joy
4011,क्या आप गंभीर हैं,surprise
4012,हाँ मैं तुम्हें प्यार करता हूँ मैंने कभी किसी को भी प्यार नहीं किया क्योंकि मैं आपसे प्यार करता हूँ।,joy
4013,मैंने कभी किसी को भी प्यार नहीं किया क्योंकि मैं आपसे प्यार करता हूँ।,joy
4014,ठीक है इसलिए यदि कोई आठ आता है तो हम इसे एक संकेत के रूप में लेते हैं और हम इसे करते हैं,joy
4015,Whoa,joy
4019,नमस्ते,joy
4020,नमस्ते आओ चलो जाओ सब ठीक,joy
4022,सब ठीक,joy
4023,यहाँ है यहाँ है,joy
4027,ठीक है कि मैं Whew वहाँ मांस पसीना आता है।,joy
4028,Well Joey,joy
4033,कौन क्या है Pie,surprise
4035,आह बस मुझे थोड़ा sliver काट लें।,joy
4038,क्या,surprise
4039,मुझे एक असली टुकड़ा,anger
4040,हे मेरे परमेश्वर क्या आप यहाँ क्या कर रहे हैं,surprise
4042,हे मेरे परमेश्वर,surprise
4051,Phoebe ने कहा कि यह जरूरी था,anger
4053,क्या आप महसूस करते हैं मैं छात्रों से भरा एक कक्षा है,anger
4055,ठीक है मैं कल्पना नहीं कर सकता मैं,fear
4056,बिना इन हथियारों और अपने चेहरे और इस दिल के बिना।,sadness
4057,आपका अच्छा दिल Rach और ,sadness
4059,मैं क्या कर सकता हूँ,sadness
4060,मैं तुम्हें सोचने के लिए इस्तेमाल करता था क्योंकि वह कभी भी मुझे चोट नहीं पहुंचाता था।,sadness
4061,यह सब कुछ बदल गया है।,sadness
4062,हमेशा के लिए,sadness
4063,फिर यह कैसे आता है,sadness
4068,मेरा मतलब है आप इस लड़के को किस तरह से डेटिंग कर रहे हैं,surprise
4069,मेरा मतलब है क्यों सभी अचानक आप इतने हैं  ओह,surprise
4075,Aha,surprise
4077,हाय,joy
4079,उहओह,fear
4083,ओह मैंने क्या कहा,surprise
4085,यह कैसे अलग है ओह हाँ,surprise
4090,पर,anger
4091,नहीं नहीं मैं इसे एक बार कर सकता हूँ देखें देखो Hmm नूडल्स सूप। डैमनी,anger
4096,नहीं रॉस वे बस उन्हें महत्वपूर्ण लोगों के लिए बचाया नमस्कार क्या होगा,anger
4103,और यह इस शहर में एकमात्र अस्पताल नहीं है और हमें कोई समस्या नहीं है Whoa,anger
4104,ओह गोश,surprise
4105,Whoa,surprise
4106,क्या,surprise
4107,Ow Ow अनुबंध। Owow Owow,surprise
4112,इसका मतलब यह है कि वे प्रेमी हैं।,surprise
4114,क्या मुझे पता होना चाहिए,surprise
4116,हे भगवान ठीक है। ठीक है। ओके रॉस कृपया मुझे नफरत नहीं करते।,fear
4117,ओह क्या क्या,surprise
4120,हाय Pheebs,joy
4121,हाय,joy
4127,हाँ,joy
4128,ओह अब आप मुझे खो देते हैं।,fear
4129,आप फोन को चुराते हैं,anger
4130,No Umm OKay लेकिन जब आप डायल करते हैं तो मुझे अपने नए रिंगिंग हैंडबैग की विशेषताएं दिखाई देती हैं। ओह यह काम करता है,fear
4131,Phoebe,anger
4134,मैं क्या नहीं जानता आपके जननांग फोन कॉल कैसे कर सकते हैं ओके यह एक सही दुनिया नहीं है बस जाओ।,anger
4135,ठीक,anger
4136,कैसे ya doin आपका स्वागत है ya,joy
4140,लेकिन मैं मेजबान हूँ,surprise
4145,हे गनथर। नमस्ते। मेरा मतलब है कि आप,surprise
4147,मुझे पता है वह बहुत आकर्षक है लेकिन अगर आप दो बाहर जाना शुरू करते हैं तो यह,disgust
4152,ओह,surprise
4153,क्या हुआ,surprise
4154,अपनी उम्मीदों को न प्राप्त करें हम केवल उसे पीछे से या गर्दन से देखने के लिए मिलते हैं।,sadness
4156,ओह इंतजार बंद करो बंद करो बंद करो,joy
4157,क्या मैं क्या आपको ब्रेक की आवश्यकता है,surprise
4158,मैं इसे यहां से देख सकता हूँ। क्या आप एक पति को खर्च करेंगे,joy
4160,हाँ,joy
4161,क्या आप चाहते हैं आप इसे बच्चे के पास ले जाते हैं,joy
4162,नमस्कार क्या मैं हूँ हैप्पी,anger
4163,क्यों,anger
4165,क्योंकि मुझे यकीन है कि वह क्या कर सकता है,anger
4169,तुम लोग मुझे उड़ते हो हाय नमस्कार हम,joy
4171,क्या आप क्या कर रहे हैं,surprise
4176,Phoebe क्यों अपने बैग चलती है,surprise
4177,गंभीर रूप से यह चलती है,surprise
4178,क्या है,surprise
4181,Yeah हम दोनों भाग के लिए ऑडिशन और उह जैसा कि यह निकला वे आह वे stupid समलैंगिक बात पसंद करते हैं और उसे डाल दिया।,anger
4182,मुझे क्षमा करना मुझे क्षमा करना मुझे क्षमा करना चाहिए।,sadness
4184,Rach,surprise
4186,ओह यह अप्रत्याशित है I I I,joy
4190,मुझे विश्वास नहीं है कि आप नहीं करना चाहते हैं।,surprise
4192,क्या आप जानते हैं,surprise
4194,मुझे माफ़ी है मैं सिर्फ एक चाची होने के बारे में उत्साहित हूँ,joy
4196,हे Phoebe,joy
4197,हाय Pheebs,joy
4198,Feebs,joy
4199,ठीक,anger
4201,कुछ भी नहीं मुझे खेद है मैं सिर्फ हूँ मैं किसी तरह से हूँ।,sadness
4207,जोआ कल स्टोर खुल जाएगा,surprise
4208,अधिक कॉफी यहाँ कृपया,joy
4210,हे क्या आप यहाँ क्या कर रहे हैं,surprise
4211,ठीक है मैंने सोचा कि आप क्या कहते हैं और उम मैंने डुह को महसूस किया शायद मैं थोड़ा न्यायिक था।,sadness
4218,ओके यिक्स यह क्या है,surprise
4222,क्यों नहीं Nooo,fear
4223,हे हे,surprise
4227,शट अप,anger
4230,हाँ,surprise
4232,हाय हाय मैं रॉस हूँ तुम मुझे पता नहीं है लेकिन मैं तुम्हारा एक बड़ा प्रशंसक हूँ। मेरा मतलब है,joy
4236,क्या,fear
4241,उम नहीं।,fear
4243,मैं सूची में नहीं हूँ,surprise
4250,हे Pheebs,joy
4251,ओह आपने बनाया,surprise
4253,हाँ वह चान लव के बिना नहीं रह सकती थी।,joy
4254,ओह एक कमरा मिलता है।,disgust
4256,मुझे पता है। इसका प्रयोग करें।,disgust
4257,Oh Mon मुझे सुनना है,surprise
4266,Whoa,surprise
4270,मैं,sadness
4271,आप यहाँ क्या कर रहे हैं,surprise
4273,क्या,surprise
4275,अब मैं जानता हूँ कि मैं कहाँ से आया हूँ।,anger
4276,यदि आप मेरी मदद कर सकते हैं पिता तो तुम्हें चाहिए,anger
4277,अन्यथा आप,anger
4278,इसलिए मुझे सच बताओ,anger
4279,मेरे पिता Chuck Magioni है,surprise
4281,लेकिन मैं क्या जानता हूँ पिता है और यही सच है।,sadness
4282,ओह,sadness
4287,हे,surprise
4288,मैं आज आपको बताना चाहता था लेकिन मैं सिर्फ़ मैं चाहता हूं कि मैं सभी फ्लॉपी महसूस कर रहा हूं और ,sadness
4289,क्या,surprise
4290,फिर आओ,surprise
4291,सब ठीक है मैं हूँ मैं,sadness
4293,मैं,sadness
4299,आपका विचार Plural,surprise
4300,ठीक है मैं सिर्फ एक सोचा था यह गर्म नानी के बारे में है मैंने उसे देखा,joy
4304,महान उपन्यास,surprise
4309,यह जाओ,joy
4310,चलो,joy
4317,क्या,surprise
4319,आप स्टील हैं,joy
4321,मेरा मतलब क्यों सभी लोगों में से आप चिप के साथ बाहर जाना चाहते हैं,surprise
4325,उन्हें विशेष रूप से बनाया गया था,surprise
4327,हे मेरे परमेश्वर उन्होंने हमें बताया कि वह मर्दाना था,surprise
4328,फिर मैंने सोचा कि मैं कभी नहीं कभी एक चिप मैथ्यू के साथ बाहर जाने का मौका मिलता है और अब वह वह मुझे बुलाया और मुझसे पूछा।,surprise
4329,और मेरे अंदर वसा लड़की वास्तव में जाना चाहता है।,joy
4333,क्या वास्तव में,surprise
4338,ओह मनुष्य पर आते हैं आप मेरे साथी के साथ नृत्य कर सकते हैं वह असली उह mellow,anger
4340,रॉस इसे पाने के लिए ऐसा नहीं है कि वह आपसे नफरत करती है।,anger
4341,हाँ लेकिन,sadness
4343,Ooh Phoebe ठीक है चलो सभी रोशनी को बदल देते हैं और हम,joy
4344,ओके हे,joy
4345,क्या आप इसे पसंद करते हैं तुम कहाँ जानते हो,joy
4346,ज़रूर,joy
4347,आपने अपनी चादर को एक फ्लावर मार्केट में खरीदा है रॉस आने पर आपको मिलाता ने पर्स तार को थोड़ा ढीला कर दिया।,disgust
4350,क्या मुझे लगता है कि वह गर्म है रॉस,surprise
4351,Eh मेरा मतलब है मैं Mena वह unattractive लेकिन गर्म नहीं है ,surprise
4352,धन्यवाद,joy
4354,क्या,surprise
4355,बदसूरत नग्न आदमी की रसोई टाइल बिछाने। Eww,disgust
4356,Eww मैं यहाँ एक पक्ष पूछ रहा हूँ। अगर मैं अपने भाई के लिए ऐसा करता हूँ तो शायद एंजेला मेरे पास वापस आ जाएगा।,disgust
4357,मैं जानता हूँ लेकिन मैंने बहुत बड़ी गलती की। मुझे कभी उसके साथ नहीं टूटना चाहिए। क्या आप मेरी मदद करेंगे कृपया,sadness
4358,तो शहद इस सुबह मज़ा था huh मुझे वहाँ बौछार में आप पर कूदना।,joy
4359,हाँ शायद कुछ दिनों में हम दो बाथरूमों के साथ जगह ले सकते हैं।,joy
4361,आपका क्या मतलब है,surprise
4362,क्या हमारा यौन जीवन है यह,sadness
4363,वहाँ थोड़ा गिर गया,joy
4365,हे,joy
4366,जय,joy
4367,,surprise
4368,जय,joy
4369,जय,joy
4372,क्या,surprise
4374,नहा,disgust
4377,मैं उस विचार से प्यार करता हूँ,joy
4378,हे सोफी,joy
4379,ओह कुछ प्रिय ग्राहक ने सुझाव बॉक्स में एक सुझाव दिया।,anger
4380,हे मेरे परमेश्वर उन्होंने मेरा विचार लिया,surprise
4381,क्या तुम,surprise
4383,हे मेरे परमेश्वर क्या तुम लोग ठीक हो,surprise
4384,क्या तुम सब ठीक हो,surprise
4385,हे मेरे।,surprise
4387,ओह मेरे गोश जोशुआ,surprise
4391,ओह ओह मैं उस पर प्यार करता हूँ।,surprise
4395,हे,joy
4396,हे,joy
4397,हे,joy
4400,ओह मुझे खेद है ओह मैं सिर्फ मैंने सोचा कि हम उन्हें मार दिया है और फिर कुछ मटर और प्याज जोड़ सकते हैं।,sadness
4401,हम क्यों करेंगे,surprise
4402,ठीक है क्योंकि तब वे मेरी माँ की तरह उन्हें बनाने के लिए इस्तेमाल किया गया था आपको पता था कि वह मर गया था।,sadness
4404,सबसे अविश्वासशील बात हुई है। अंडरडॉग अभी ठीक हो गया है।,surprise
4408,आओ। एक  फुट इन्फैटेबल कुत्ते शहर को ढीला करते हैं। कितनी बार ऐसा होता है,surprise
4421,ठीक है मुझे यह नहीं मिल रहा है,anger
4422,मैं पूरी तरह से इसे प्राप्त कर रहा हूँ,joy
4423,क्या जब वे क्लिक करते हैं तो बस क्लिक करें।,surprise
4426,महान। यह फिर से जिम क्लास है।,disgust
4427,मैं पागल नहीं हूँ इसका मतलब यह नहीं था।,surprise
4429,ओह और यह इतना अच्छा है कि इस छोटे से सिंक यहाँ है।,joy
4430,क्या यह अच्छा नहीं है यह इतना शांत है मैं आज भी यहां रह सकता हूँ।,joy
4432,अपना ड्रैप खोलें अपना ड्रैप खोलें,joy
4433,मुझे बहुत खुशी है कि हम कमरे में रहने वाले हैं,joy
4434,सूर्य बाहर है,joy
4437,Nooo,sadness
4438,इसे डुबोना,anger
4440,क्या है मैं क्या आप जानते हैं,sadness
4444,लेकिन यह   है।,surprise
4445,Sorry,sadness
4449,हाँ मैंने कुकीज़ बनाई,joy
4456,आप जानते हैं कि यह अभी भी वहाँ बंदर की तरह गंध करता है।,disgust
4467,हाँ,joy
4468,हे आप एक अच्छा नर्तकी हैं,surprise
4469,वास्तव में,surprise
4481,कौन क्या आपकी बहन है,surprise
4483,परमेश्वर रॉस आपकी बहन के साथ एक तारीख पर है कैसे अजीब बात है,disgust
4484,वह,disgust
4485,ओह यह सिर्फ भयानक है।,disgust
4486,तुम चूसते हो,anger
4487,क्या,anger
4488,ओके ब्रेकअप अभी भी,anger
4491,मैं समझता हूँ कि क्या आप मुझे हिट करने के लिए आए हैं मैं इसके लायक हूं।,sadness
4494,मेरा बेटा बहुत गंभीर। ओह हे कैटी क्या आप यहाँ क्या कर रहे हैं,surprise
4499,Ohh uhi वास्तव में आप बाहर पूछने के लिए यहाँ आया था।,fear
4500,ओह वाह हाँ यह बहुत अच्छा लगता है। मैं,joy
4501,ज़रूर,joy
4502,हॉर्नी बिटच। नहीं तुम Noooo आप नहीं तुम,anger
4504,पैट्रिक और मैं इस तरह के एक महान समय पिछले रात था मुझे लगता है कि यह शायद कुछ गंभीर हो सकता है।,joy
4505,वास्तव में मैंने सोचा कि तुम कहाँ थे मुझे लगता है कि आप किसी तरह के फ़्लिंग की तलाश में थे।,surprise
4508,फिर मैं देखता हूँ और मुझे एहसास है कि वहाँ एक फोन है।,surprise
4509,,surprise
4514,वे पहले नहीं देख रहे थे,surprise
4516,हनी रात्रिभोज तैयार,joy
4517,क्या मेरी छोटी शेफ मुझे रात के लिए मिला,joy
4518,आपकी पसंदीदा,joy
4519,होहोहो पनीर के साथ तला हुआ सामान,joy
4520,हाँ और बहुत,joy
4521,धन्यवाद। मुझे यहाँ थोड़ा सा चीनी दे। ओके,joy
4522,ठीक है हम में जाओ।,joy
4523,यहाँ हम जाओ यहाँ हम जाओ यहाँ हम जाओ आप कैसे करते हैं,joy
4526,हे मेरे देवता।,surprise
4527,क्या,surprise
4529,बंद उसे अपने कान में अपनी जीभ मिली।,disgust
4531,Joey यह बीमार है यह निराशाजनक है यह है यह वास्तव में सच नहीं है,disgust
4533,क्या तुम सोच रहे हो,disgust
4535,ओह,surprise
4536,Ow,surprise
4537,मैं यहाँ हूँ।,disgust
4539,वास्तव में,surprise
4541,नमस्कार एक शादी कृपया,joy
4542,हां हम शादी करना चाहते हैं,joy
4544,Dum Dumdum Dum Dum Dum Dumdum,joy
4548,नमस्ते यह है हम शादी कर रहे हैं,joy
4550,खैर हाय,joy
4551,खैर हैलो श्री राहेल,joy
4557,वास्तव में,surprise
4558,हाँ। क्या आप पूछ रहे हैं,surprise
4560,हाँ पूरी तरह,joy
4561,ओह धन्यवाद धन्यवाद धन्यवाद हाँ धन्यवाद,joy
4562,To make it to be a good way जोशुआ आज काम में आया और अनुमान लगा कि क्या हुआ,joy
4563,उसने आपसे पूछा,surprise
4564,Saucy,joy
4567,क्या मुझे डर लगता है,fear
4570,वाह यदि केवल अधिक लोग जानते हैं।,surprise
4575,ओह आदमी,surprise
4576,मैं चाहता हूँ कि वह बहुत जगह है ,joy
4577,वहाँ बारह bucks मैं फिर कभी नहीं देखेंगे,disgust
4581,Bye Chandler मैं आपको पहले से ही याद करता हूँ।,sadness
4582,क्या आपने देखा था अनुचित और चुटकी के साथ ,disgust
4583,वास्तव में मैंने किया,surprise
4585,ओह हे मेरे परमेश्वर वह हमारे बारे में जानता है,surprise
4586,क्या आप गंभीर हैं,surprise
4587,रॉस umm तुम वहाँ एक लंबे समय के लिए किया गया है। मैं एक तरह से बाहर निकलना शुरू कर रहा हूँ।,fear
4590,हे मेरे परमेश्वर,surprise
4592,Ready कुश्ती,joy
4595,क्या हम यहां ध्यान केंद्रित कर सकते हैं एक नग्न आदमी,fear
4603,वह जीवित है वह,joy
4604,फिर भी हम अभी भी उसे तोड़ रहे हैं।,disgust
4606,हेहे अब वह हमें अपना पोकिंग डिवाइस दिखा रहा है।,surprise
4607,umm बुराई bitch और उह बीमार bastard सहित।,disgust
4608,ओह,surprise
4609,अनुबंध,surprise
4611,ओह हाँ,surprise
4612,नहीं,anger
4613,क्या आप उसे अपने आप को बीमार मानते हैं,anger
4614,हनी मैं पोशाक मैं नहीं था,fear
4615,वह श्रम में आपको यह पसंद है कि आप एक बिटच का बेटा बीमार,anger
4617,देखें देखें ऐसा इसलिए था क्योंकि आप वसा को विकृत देख रहे थे,anger
4622,हे क्या आप अपने बच्चे को देखना चाहते हैं,anger
4623,क्या आप अपने पति से बात करते हैं जैसे कि आप बस्टर्ड करते हैं,anger
4625,हाँ,joy
4627,ओह बेशक,joy
4629,निश्चित रूप से Phoebe आप एक एकल खेल शो होस्ट नहीं मिलेगा जो मैं नहीं मार सकता।,joy
4630,यह कहो,joy
4631,कहते हैं कि हम अनजान हैं,joy
4632,यह कहो,joy
4635,ओह ओह ओह,surprise
4637,ओह ओह ओह ओह ओह,surprise
4638,A hohhhhhhhhhhhh,surprise
4640,आप और तुम,surprise
4641,हाँ लेकिन आप किसी को नहीं बता सकते कोई नहीं जानता,joy
4642,कैसे कब,surprise
4644,LONDON,surprise
4646,कोई नहीं नहीं नहीं आप नहीं कर सकते,fear
4647,कृपया कृपया हम सिर्फ हर किसी को बताने के साथ सौदा नहीं करना चाहते हैं बस वादा करते हैं कि आप नहीं कहेंगे।,fear
4648,मुझे पता है यह बहुत अच्छा है,joy
4649,Aww मैं यह नहीं देखना चाहता,disgust
4654,अहम,surprise
4655,हम क्या कर रहे हैं हम क्या कर रहे हैं,fear
4657,ओह हम बच्चे के लिए फ्लिप कर रहे हैं,surprise
4662,हाँ Whew,joy
4670,ग्रेट सोप ओपेरा हर किसी को रात काम करता है वर्ग खारिज कर दिया।,joy
4673,आप कौन हैं,surprise
4675,I,surprise
4676,III don ऐसा नहीं लगता।,surprise
4677,मैं चांदलर नया रूममेट हो सकता है।,surprise
