,Unnamed: 0,Translated_Utterance,Emotion
2336,2883,हां मैं वास्तव में उसे नहीं जानता।,neutral
2337,2884,क्या आप इस शर्ट के माध्यम से अपना निप्पल देख सकते हैं,neutral
2338,2885,नहीं लेकिन चिंता मत करो मुझे यकीन है कि वे अभी भी वहाँ हैं।,neutral
2339,2886,आप कहाँ जा रहे हैं,neutral
2340,2887,खैर मुझे डॉ रॉबर्ट पिल्लमैन कैरियर परामर्शदाता एगोगो देखने की नियुक्ति है। मैंने agogo जोड़ा।,neutral
2341,2888,वास्तव में कल रात किना इस बात पर निर्भर करता है कि रात्रि कैसे चली जाती है।,neutral
2342,2890,नहीं नहीं नहीं आप मुझे पर जमानत नहीं है।,anger
2343,2893,पैथोटिक गड़बड़,neutral
2344,2894,मुझे पता है लेकिन मैं आदमी वह जरूरतमंद है वह कमजोर है।,neutral
2345,2895,मैं सोच रहा हूँ चाचिंग,joy
2346,2896,धन्यवाद।,neutral
2347,2897,देखो आप जेनिस के बाद से एक महिला के साथ बाहर नहीं थे।,neutral
2348,2898,आप ऐसा कर रहे हैं।,neutral
2349,2899,नमस्ते उसने हाँ कहा।,neutral
2350,2900,हाँ कैसे जाने के लिए आदमी फिर भी अंडे मिला,joy
2351,2901,आप के लिए खुश जन्मदिन,joy
2352,2902,आप इसके लिए भुगतान कर रहे हैं।,neutral
2353,2903,क्या नहीं,surprise
2354,2904,आपने आज  अलगअलग महिलाओं को जन्मदिन मुबारक हो,surprise
2355,2905,लेकिन वास्तव में,neutral
2356,2906,अब आप जन्मदिन की मफिन वितरित करने के लिए अधिकृत नहीं हैं।,neutral
2357,2907,डैमनी,anger
2358,2908,Rach हाय,joy
2359,2909,हाय,joy
2360,2910,क्या आप अपनी बहन को मुझसे पूछ सकते हैं,neutral
2361,2911,वेल हाँ,neutral
2362,2912,ओह वाह,surprise
2363,2913,मेरा मतलब है wow,surprise
2364,2915,वास्तव में,surprise
2365,2917,इसलिए वास्तव में कभी नहीं।,neutral
2366,2918,मुझे कहना है कि मैं हूँ की तुलना में बहुत बड़ा व्यक्ति हूँ।,neutral
2367,2919,मेरा मतलब है कि हम सब के माध्यम से किया गया है मैं सिर्फ़,neutral
2368,2920,हे अगर आप कभी मोनिका के साथ बाहर जाना चाहते हैं तो आपके पास मेरा आशीर्वाद है।,neutral
2369,2923,कोई इंतजार नहीं मैं क्या कर सकता हूँ बस मुझसे बात करें।,fear
2370,2924,Well I have one चीज आज मुझे लगता है कि मैं इसे वापस धक्का सकता हूं।,neutral
2371,2926,यह सिर्फ इतना है कि मैं उह इस अर्थलेस डेडएंड जॉब पर दस साल तक काम कर रहा हूं और यहां तक कि मैं अस्तित्व में नहीं जानता,sadness
2372,2927,चांदलर,neutral
2373,2931,मैं लोगों से घिरे एक क्यूबिकल में काम करता हूं।,neutral
2374,2932,मैं अपने आप को मारने के बारे में पांच मिनट के लिए आपसे बात कर रहा हूं और कोई भी नहीं,sadness
2375,2933,लटकाना,neutral
2376,2934,हर कोई,neutral
2377,2935,क्या मैं खुद को मारता हूँ,sadness
2378,2936,मैं वापस लौटूंगा।,neutral
2379,2937,मुझे कुछ नहीं मिला।,neutral
2380,2938,प्रतीक्षा करें,neutral
2381,2939,उह हे मार्ग,neutral
2382,2940,Eh कुछ नहीं।,neutral
2383,2942,Apparently वहाँ वहाँ एक लाख लोग वहाँ से बाहर की तरह है कि मैक खेल सकते हैं और वहाँ केवल इस एक रोबोट और यह एक आदमी जो इसे नियंत्रित करता है,surprise
2384,2943,मुझे पता नहीं था कि वह मुझे आग लगा सकता है,surprise
2385,2944,मैं क्या करना चाहता हूँ,fear
2386,2945,Well y Joey आप एक सुंदर आकर्षक आदमी हैं।,neutral
2387,2946,धन्यवाद लेकिन मैं यहाँ से निपटने के लिए एक समस्या है।,fear
2388,2947,कोई स्वीटी नहीं आपको उस आदमी को जीतने के लिए मिला जो CHEESE को नियंत्रित करता है आप कुछ गंभीर रोबोट को चुंबन करने के लिए मिल गया है,neutral
2389,2948,यही नहीं,neutral
2390,2949,हाँ।,neutral
2391,2950,ठीक है लेकिन अगर मुझे कल के आकर्षण को बदलने के लिए मिला मैं अपने दोस्तों के साथ यहाँ से कहीं ज्यादा बर्बाद नहीं कर रहा हूँ।,neutral
2392,2951,ठीक है वास्तव में मुझे आपके लिए Pheebs के लिए थोड़ा बचाया गया।,joy
2393,2952,तो क्या आपको लगता है उह जॉय,neutral
2394,2954,हाँ आप चाहते हैं।,neutral
2395,2958,यह कौन है,surprise
2396,2959,खैर यह एक तारीख है।,neutral
2397,2960,एक तारीख,surprise
2398,2961,नहीं कोई भी Pheebs आपको गलती नहीं करनी चाहिए क्योंकि मुझे पता है कि आप क्या करेंगे उसी रात आपको एक दोस्त के साथ योजना बनाने की योजना नहीं है,surprise
2399,2962,Joey पर आओ मुझे इस बारे में बुरी तरह से महसूस नहीं करना चाहिए।,sadness
2400,2963,नहीं मैं,anger
2401,2964,यह सही है,anger
2402,2965,Yeah तुम मुझे वास्तव में गोइन के बारे में दोषी महसूस किया उस लड़की के साथ बाहर,anger
2403,2966,समान मैं तुम्हें कुछ भयानक था,anger
2404,2967,और अब Pheebs तुम,anger
2405,2968, यह क्या है यह है,anger
2406,2969,ठीक है अच्छी तरह से मेरी लड़की दूसरी रात से विशेष थी। वह वैज्ञानिक भी थीं,anger
2407,2970,वह थी,surprise
2408,2971,खैर उन्होंने हाई स्कूल से स्नातक किया,anger
2409,2973,क्या,neutral
2410,2974,मैं तुम्हें आश्वस्त करने के लिए समय नहीं है क्योंकि वह केवल चार घंटे के लिए यहाँ और मैं,anger
2411,2975,ठीक,anger
2412,2976,हाँ,anger
2413,2977,ठीक,anger
2414,2978,हाँ,anger
2415,2979,आप अभी भी क्या कर रहे हैं मैंने आपको बताया लॉबस्टर रेवियोली,anger
2416,2980,मैं देर से हूँ मैं काम पर अटक गया था। यह बड़ा डायनासोर था।,neutral
2417,2981,नमस्ते।,neutral
2418,2982,रॉस आपको सुसान याद है।,neutral
2419,2983,मैं कैसे भूल सकता हूँ,surprise
2420,2984,रॉस।,neutral
2421,2986,डॉ ओबेर्मन,neutral
2422,2987,Dr Oberman ओके वह है,neutral
2423,2988,वह,neutral
2424,2990,हां और वह बहुत सहायक है।,neutral
2425,2991,ठीक है यह बहुत अच्छा है। नहीं मैं हूँ,joy
2426,2992,धन्यवाद।,neutral
2427,2993,Quack quack,neutral
2428,2994,रॉस यह मेरे गर्भाशय ग्रीवा को खोलता है।,surprise
2429,2995,बैरी,surprise
2430,2996,Cmon in,neutral
2431,2997,क्या आप निश्चित हैं,surprise
2432,2998,हाँ यह ठीक है यह ठीक है। Robbies gonna,neutral
2433,2999,क्या,surprise
2434,3000,तो ya doin,neutral
2435,3001, लौ लड़का,neutral
2436,3003,ओह धन्यवाद। ओह बहुत धन्यवाद। ओह आने के लिए धन्यवाद। उह सिर्फ एक सेकंड,joy
2437,3005,Phoebe,neutral
2438,3006,हाँ,joy
2439,3007,क्या आप सिर्फ एक मिनट के लिए पकड़ सकते हैं,neutral
2440,3009,क्या आप अकेले हैं,neutral
2441,3011,ठीक है।,neutral
2442,3012,चलो जाओ,anger
2443,3013,नहीं तुम जाओ,anger
2444,3014,नहीं,anger
2445,3016,मैं नहीं जानता हूँ। मुझे लगता है कि अन्य लोग अभी क्या करते हैं,neutral
2446,3018,यह गिम,anger
2447,3019,चलो जाओ,anger
2448,3020,क्या,neutral
2449,3021,Umm,neutral
2450,3022,मैं वहाँ फिट बैठता हूँ।,neutral
2451,3023,मैंने कहा है कि आप क्या कर सकते हैं,neutral
2452,3025,Knick प्रशंसक,neutral
2453,3026,ओह हाँ।,neutral
2454,3028,हे सुनो महिला वाहा।,surprise
2455,3029,देखो अपने आदमी को देखो ईविंग अच्छा शॉट। आप जानते हैं कि अगर वह नाव पर खड़ा था तो वह पानी नहीं मार सकता था।,disgust
2456,3030,ओह हाँ कौन आपको पसंद है,neutral
2457,3031,Celtics।,neutral
2458,3032,Celtics हा अगर वे एक नाव हिट नहीं कर सकते  वे बेकार हैं,disgust
2459,3033,ओह बंद करना। आप जानते हैं यह एक पुनर्निर्माण वर्ष है। आप waah,anger
2460,3035,कोई पिता नहीं है।,neutral
2461,3038,ओह उह ठीक है। इस तरह सही है। अन्य सभी गर्भवती महिलाओं को यहां से जाना जाता है।,neutral
2462,3039,ठीक,neutral
2463,3040,स्वीटहार्ट सिर्फ gimme gimme एक और मौका ठीक है हम सभी को फिर से शुरू करेंगे। हम वापस आ जाएंगे।,fear
2464,3041,Dr Farber हम यहाँ एक आपातकाल का एक सा मिला है  जेसन कोस्टालानो अपने रिटेनर पर घुट रहा है।,fear
2465,3042,हे भगवान,fear
2466,3043,मैं वहाँ हूँ Bernice,neutral
2467,3044,कृपया ध्यान दें कि आप कहीं भी नहीं जा सकते,fear
2468,3046,ओके,neutral
2469,3047,नमस्कार,neutral
2470,3048,क्या आप चाहते हैं,anger
2471,3049,क्या आप देखते हैं कि जब वह वहां से बाहर निकल गया तो वह किस तरह पसीना आ रहा था,surprise
2472,3050,सुनिए शहद अगर मैं गेंद को बहुत ज्यादा हॉग कर रहा हूँ तो आप ठीक उसी में कूदते हैं और एक युगल घूंसे लेते हैं क्योंकि मैं आपको बता रहा हूं ऐसा लगता है,neutral
2473,3051, मुझे यकीन है कि मैं अभी भी उससे शादी कर रहा हूँ।,joy
2474,3052,क्या आप बात कर रहे हैं माधु आदमी शैतान है वह शैतान है,disgust
2475,3053,देखो मुझे पता है कि वह सही नहीं है लेकिन सच्चाई यह है कि दिन के अंत में मैं अभी भी वास्तव में श्रीमती डॉ बैरी फैबर डीडीएस हूँ।,neutral
2476,3054,हे भगवान।,surprise
2477,3057,सुनिए रॉबर्ट,neutral
2478,3059,कृपया अभी नहीं हर बार मैं उसे देखता हूँ क्या यह मुझे देख रहा है,fear
2479,3061,वह क्या है,neutral
2480,3062,हे,surprise
2481,3063,हे,neutral
2482,3064,तो जिम के लिए तैयार हैं वे इस नए रॉक पर्वतारोहण दीवार को प्राप्त करते हैं हम एक दूसरे को स्पॉट कर सकते हैं।,neutral
2483,3065,नहीं मैं आपको यहां से देख सकता हूँ।,neutral
2484,3066,क्या,surprise
2485,3067,ओके रॉबर्ट सुनो ,neutral
2486,3068,मैं नहीं हूँ,anger
2487,3069,नहीं यह वही है जो खेल है।,neutral
2488,3070,जो आपने अभी तक जल्दी ही दिया था।,neutral
2489,3071,क्या आपने जॉय देखा है,neutral
2490,3072,क्या,neutral
2491,3073,ओह बस यह क्या यह वास्तव में मेरी गलती है,neutral
2492,3074,हे क्या किसी ने मुझे उन टाइलों में से एक सौंप दिया है।,neutral
2493,3075,क्या,surprise
2494,3076,वह मेरी मंजिल तक पहुंचता है।,neutral
2495,3079,उन्होंने पहली बार मेरा आरंभ किया,anger
2496,3082,क्या मैं आपकी मदद कर सकता हूँ,neutral
2497,3083,उहओह,fear
2498,3084,Uh yknow what हम हमारी प्रतिलिपि जरूरतों के बारे में दूसरे विचार कर रहे हैं। और हमें इसके बारे में सोचने के लिए थोड़ी देर की आवश्यकता होगी।,neutral
2499,3085,Chloe मेरे साथ स्विच करें वहाँ कुछ लोग यहाँ हैं कि आप पर एक क्रश मिल गया है।,neutral
2500,3087,हाय दोस्तों। मैंने आज तक नहीं देखा।,neutral
2501,3088,खैर ah ,neutral
2502,3089,क्या आप कल रात क्या कर रहे हैं,neutral
2503,3090,हम दोनों,surprise
2504,3091,शायद। क्या वह डराता है,neutral
2505,3092,आराम करो। यह सिर्फ इस्सैक डीजे  फिली में। आपको आना चाहिए।,neutral
2506,3093,हम कहाँ होंगे,joy
2507,3094,महान। Ill ah,joy
2508,3095,सब ठीक है रॉक ऑन।,joy
2509,3096,उम मोमबत्तियां शैम्पेन याह वर्षगांठ महान हैं।,joy
2510,3098,इस जीवनकाल में कुछ भी नहीं बैंक में पैसा इसलिए राहेल और मैं टूट गया।,sadness
2511,3100,हाँ अच्छी तरह से।,neutral
2512,3101,क्या आप इस बारे में बात करना चाहते हैं,neutral
2513,3102,ओह हाँ मैं,joy
2514,3103,ओह महान मुझे भी,joy
2515,3104,मुझे लगता है कि यह सब शुरू हो गया जब राहेल को यह नया काम मिला।,neutral
2516,3105,क्यों आप बहुत परवाह करते हैं,neutral
2517,3106,क्योंकि तुम मेरी कल्पना को दूर करने के लिए हो सकता है,joy
2518,3108,नहीं Y Know,neutral
2519,3109,क्यों जूनियर उच्च में आप केवल वही थे जो उस यूक्रेनी बच्चे के साथ बाहर लटका हुआ था,neutral
2520,3111,अहम,neutral
2521,3112,क्या आप उसे प्यार करते हैं,neutral
2522,3113,हमने कहा कि यह केवल दो सप्ताह होने जा रहा है हां,neutral
2523,3114,आप उसे प्यार करते हैं,surprise
2524,3115,वास्तव में क्या प्यार है,neutral
2525,3116,ओह,neutral
2526,3117,मैं एक अच्छा चुंबन हूँ।,neutral
2527,3118,फिर आप दो कर सकते हैं कॉकपिट में घुस सकते हैं और चीजें गर्मी शुरू हो जाती हैं और फिर एक स्टेवर्डेस में आता है I बहुत ज्यादा अश्लील देख रहा है।,neutral
2528,3119,इसलिए मूल रूप से यह बहुत आसान है। आप स्क्रिप्ट से पढ़ते हैं और जितना संभव हो उतना टोनर बेचने की कोशिश करते हैं।,neutral
2529,3120,मैं ऐसा कर सकता हूँ ओह रास्ते से I,joy
2530,3121,क्यों नहीं,neutral
2531,3122,ओह ओके उम सब ठीक है। हाय यह एम्पायर ऑफिस सप्लाई से पोबे है क्या मैं आपके सप्लाई मैनेजर से बात कर सकता हूं,neutral
2532,3123,मैं आपूर्ति प्रबंधक हूँ।,neutral
2533,3124,Umm ठीक है मैं आपकी टोनर जरूरतों के बारे में आपसे बात करना चाहूंगा।,neutral
2534,3126,हे चांदलर आप यहाँ क्या कर रहे हैं,surprise
2535,3127,ओह मैं सिर्फ कहना चाहता था हाय,joy
2536,3128,हे,neutral
2537,3129,ओके,neutral
2538,3130,Oh hey Mon क्या आपके पास अभी भी पुराने ब्लाउज और उच्च विद्यालय से कपड़े हैं,neutral
2539,3131,हाँ मुझे लगता है कि मेरे पास कहीं भी कुछ है। क्यों,neutral
2540,3134,ब्लूमिंगडेल,neutral
2541,3135,हे मेरे परमेश्वर क्या आप नौकरी से बाहर हैं,surprise
2542,3136,नहीं लेकिन वे मुझे व्यक्तिगत खरीदारी में फंस गए। क्या है,sadness
2543,3138,आओ कोई peeking,joy
2544,3140,ओकेय्यी खुला,joy
2545,3142,हाँ यह हमारे खानपान व्यवसाय के लिए,joy
2546,3143,मुझे लगता है कि मैं जानता हूँ कि लड़की।,neutral
2547,3145,नहीं,surprise
2548,3146,नहीं हम तलवार पर पेंट करते हैं और इसे एक baguette के साथ बदल देते हैं।,neutral
2549,3147,ओह,surprise
2550,3148,इसके अलावा हम क्या करते हैं,neutral
2551,3149,ओह हाँ मैं निश्चित रूप से उसे जानता हूँ।,neutral
2552,3152,Yknow hey तुम,anger
2553,3153,हाँ क्योंकि मैं था,neutral
2554,3156,तुम मुझे प्यार करते हो।,neutral
2555,3157,ओह yyeah इसलिए आप मुझे प्यार करते हैं,surprise
2556,3158,Noo nnn इसका क्या मतलब है क्या आप करते हैं,surprise
2557,3160,शायद,surprise
2558,3161,मैं क्या जानता हूँ,neutral
2559,3164,मैं बस मैं महसूस करता हूँ मैं सिर्फ हूँ ,neutral
2560,3165,क्या,neutral
2561,3166,मुझे लगता है,neutral
2562,3167,Noo मैं क्या करता हूँ मैं नहीं हूँ मैं मैं अभ्यास के लिए आप के साथ एक पर एक पट्टी पोकर खेलने वाला नहीं हूँ,anger
2563,3169,खैर शुभ रात्रि मैं,neutral
2564,3170,रात्रि,neutral
2565,3172,आप क्या कर रहे हैं,neutral
2566,3173,कुंजी लॉक में अटक गया है।,neutral
2567,3174,मैं इसे ठीक कर सकता हूँ। पकड़ो बाहर देखो बाहर देखो,neutral
2568,3176,हाँ मुझे माफ़ी है। क्या आपके पास कोई अतिरिक्त पैंट है Umm मेरे दोस्त को लगता है कि थोड़ा दुर्घटना थी।,neutral
2569,3177,क्या है मोनिका और चांदलर गेटिन शादी की।,joy
2570,3178,मैं जानता हूँ वे,joy
2571,3179,Ohhh I मतलब दो सबसे अच्छे दोस्त प्यार में पड़ जाते हैं कितनी बार ऐसा होता है,joy
2572,3180,नहीं,neutral
2573,3181,नहीं मैं उनके लिए बहुत खुश हूँ,joy
2574,3182,मुझे भी इसलिए उनके लिए खुश,joy
2575,3185,मेरा मतलब है मैं शायद  खुश हूँ शायद  ईर्ष्या। क्या कि,neutral
2576,3188,हे उह क्या आपके लोग चांदलर दृश्य हैं,neutral
2577,3189,क्यों,neutral
2578,3190,याद रखें कि खाना पकाने के स्कूल से लड़का मैंने आपको बताया कि सब कुछ के साथ सिलेंट्रो डाल दें,neutral
2579,3191,Oh sure Cilantro Larry,neutral
2580,3192,ठीक है मैं मैं उसके लिए चेल्सी रिपोर्टर के लिए खाद्य आलोचक के रूप में भरने वाला हूँ।,joy
2581,3193,वाह मोनिका क्या लोगों के दर्जनों लोगों को प्रभावित करने का एक अद्भुत अवसर है,joy
2582,3194,आप क्या कह सकते हैं,anger
2583,3196,जय,joy
2584,3197,ओह उस मामले में मुझे बोर्ड पर ढूँढना था।,joy
2585,3199,हे तुम लोग हे रॉस ya के लिए त्वरित सवाल। क्या आप पार्टी के लिए तैयार हैं,joy
2586,3200,नमस्ते।,neutral
2587,3201,हे यह मुझे,neutral
2588,3202,मुझे पता है कि क्या आप मेरे समान कमरे में नहीं रह सकते हैं इसलिए मैंने सोचा कि मैं कोशिश करता हूँ और फोन पर क्षमा करता हूँ।,sadness
2589,3203,मैं,neutral
2590,3204,नमस्ते।,neutral
2591,3205,मुझे कभी भी अपनी प्रेमिका को चुम्बन नहीं करना चाहिए लेकिन मैं,fear
2592,3206,कॉलिन बंद करो,anger
2593,3207,हे हे हे यह  WXRK KRock है जो हमारी   दैनिक चुनौती के लिए है।,joy
2594,3208,सब ठीक,neutral
2595,3209,अपने रूममेट का नाम क्या है जो बहुत बहुत खेद है और कुछ भी करेगा,neutral
2596,3210,यूसुफ फ्रांसिस Tribbiani अभी तक घर हैं,neutral
2597,3214,ओह,neutral
2598,3218,ओहवाह क्या आप मुझे मध्य नाम दे रहे हैं मैं तुम्हें एक नोट छोड़ दिया,surprise
2599,3219,क्या क्या आप मुझे धोखा देने का अधिकार नहीं देते,anger
2600,3221,वह क्या है,neutral
2601,3222,मैं इस नियम को स्वीकार नहीं करता हूँ।,anger
2602,3223,जब हम योजना बनाते हैं तो मैं आपको दिखाने की उम्मीद करता हूं।,anger
2603,3224,ठीक है मैं क्या कर सकता हूँ,anger
2604,3225,YNO प्रेमी और गर्लफ्रेंड आते हैं और जाते हैं लेकिन यह जीवन के लिए है,anger
2605,3226,क्या आप जानते हैं कि वह वहाँ था,neutral
2606,3227,नहीं,neutral
2607,3228,हम कब तक घर आए हैं,neutral
2608,3229,लगभग आधे घंटे।,neutral
2609,3230,प्यार,neutral
2610,3231,रोशनी। उह रोमांटिक रोशनी।,neutral
2611,3232,ओह अच्छा।,joy
2612,3233,इसलिए इस बात के बारे में मैं आपसे बात करना चाहता था।,neutral
2613,3234,ओह सही मैं इसके बारे में पूरी तरह से भूल गया।,neutral
2614,3235,मैं बहुत सोच रहा हूँ और मैं अपने जीवन को देखता हूँ,neutral
2615,3236,हाँ,neutral
2616,3238,वाह।,surprise
2617,3239,वहाँ एक बात याद आ रही है।,sadness
2618,3240,क्या,neutral
2619,3241,यह मेरे लिए भौतिक दुनिया को जीतने का समय है।,neutral
2620,3242,ओके,neutral
2621,3243,मोनिका मैं अंतिम लड़ चैंपियन बनना चाहता हूं।,neutral
2622,3244,आप क्या चाहते हैं,surprise
2623,3245,मैं अंतिम लड़ चैंपियन बनना चाहता हूं यह दुनिया में सबसे तीव्र शारीरिक प्रतियोगिता है यह  राज्यों में प्रतिबंधित है,joy
2624,3246,आप किस बारे में बात कर रहे हैं,surprise
2625,3247,ओके मेरी ट्रेनर हो ची मुझे Gee Koon Doe और ब्राजीलियाई सड़क लड़ाई का एक संयोजन सिखा रही है मैंने भी अपना खुद का ऑक्टागन प्रशिक्षण रिंग बनाया है।,neutral
2626,3249,हाँ।,neutral
2627,3250,Monica मैं चाहता हूँ कि आप वहाँ सामने की पंक्ति में जब मैं जीतता हूँ।,joy
2628,3251,मैं चाहता हूं कि आप रक्त को गंध करने के लिए पर्याप्त बंद हो जाएं।,joy
2629,3252,आप क्या सोचते हैं,neutral
2630,3253,मेरे मातापिता बहुत खुश होंगे।,disgust
2631,3254,क्या हुआ,neutral
2632,3255,हाँ आना खाना जो आप चाहते हैं। डॉ रोजर फिर से बीप हो गया।,neutral
2633,3256,हाँ मैं जानता हूँ कि कौन उसे beeped,neutral
2634,3257,क्या,surprise
2635,3261,वास्तव में,surprise
2636,3263,जब आप रोजर के बारे में बात कर रहे थे तो वह मुझे मार रहा था,sadness
2637,3268,चांदलर,surprise
2638,3269,मुझे पता है कि आप शायद क्या करते हैं मेरे साथ बाहर जाने के लिए नहीं चाहते हैं,sadness
2639,3270,क्या सिर्फ एक महिला थी,neutral
2640,3271,नहीं वहाँ दो थे।,neutral
2641,3272,मुझे शामिल,surprise
2642,3273,ओह,joy
2643,3274,हे,joy
2644,3275,आपका स्वागत है,joy
2645,3276,हे क्या हम उठा सकते हैं कि हम कहाँ छोड़े,joy
2646,3277,मुझे पता नहीं है मैं अभी भी इस दोपहर से बहुत थक गया हूँ।,neutral
2647,3278,क्यों,surprise
2648,3279,Uh sex,neutral
2649,3280,क्या सेक्स,surprise
2650,3282,हमने क्या किया,surprise
2651,3284,Ew Ew Ew Ew Ew Ew,disgust
2652,3285,नहीं नहीं नहीं नहीं नहीं नहीं नहीं,disgust
2653,3286,हे भगवान मैं क्या कर सकता हूँ अब क्या आप बिल्कुल निश्चित हैं,disgust
2654,3287,तो वह सिर्फ सबसे अच्छा सबसे महंगा तारीख मैं कभी था,surprise
2655,3288,क्या आप उन्हें देखना चाहते हैं मैं कभी एक प्रेमी को फिर से ढूंढ रहा हूँ मैं एक पुराने नौकरानी मर गया।,sadness
2656,3289,मैं आपकी मां हूँ।,neutral
2657,3290,Eh,surprise
2658,3291,ओह और फिर मोनिका ने मजाक किया कि वह क्या करेगी चांदलर जैसे एक आदमी के साथ बाहर नहीं जाना चाहिए।,neutral
2659,3292,वहाँ जाओ।,neutral
2660,3293,और वह क्या कर सकता है क्या मैं जानता हूँ,neutral
2661,3294,ओह,surprise
2662,3295,और फिर रॉस नई प्रेमिका बोनी दिखाता है और राहेल ने उसे अपने सिर को बचाने के लिए आश्वस्त किया।,neutral
2663,3296,और फिर रॉस और राहेल चुंबन और अब रॉस को राहेल और बाल्ड लड़की के बीच चयन करना पड़ता है और मैं क्या हुआ पता नहीं है,neutral
2664,3297,हाँ मुझे क्या करना चाहिए मुझे चांदलर जाने दें।,neutral
2665,3298,क्या मैं आपसे एक पल के लिए बात कर सकता हूँ,neutral
2666,3299,खैर हाँ मैंने पहले झूठ बोला।,sadness
2667,3300,ओह,surprise
2668,3301,हे भगवान,surprise
2669,3302,अब आप जानते हैं कि आप वास्तव में इसके बारे में कैसा महसूस करते हैं।,neutral
2670,3303,ओह ओह कि एक जोखिम भरे छोटे खेल,surprise
2671,3304,क्या आप वास्तव में ऐसा करना चाहते हैं,fear
2672,3305,हाँ। मैं मैं मैं,joy
2673,3306,कौन,neutral
2674,3307,आह यह अभी भी समय नहीं है।,neutral
2675,3308,आपने कहा कि मैं बोरिंगओह था,anger
2676,3309,जब मैंने कहा कि तुम बोर हो,neutral
2677,3310,हे मेरे परमेश्वर हम शतरंज खेल रहे थे,surprise
2678,3311,Phoebe मैं हूँ,neutral
2679,3313,हाँ याद रखें कि उस समय जमे हुए झील पर,neutral
2680,3315,ठीक है वहाँ एक है,neutral
2681,3316,ठीक है मैं,anger
2682,3317,क्योंकि मैं किसी व्यक्ति के साथ एक और दिन बिताने के लिए नहीं जा रहा हूं जिसका हर कदम मेरे लिए तोड़ना है।,anger
2683,3318,कि,anger
2684,3319,हाँ मुझे मिला।,neutral
2685,3320,और तुम मैं खुद को तुम पर फेंक देता हूँ और तुम कहते हो कि तुम कैसे समलैंगिक हो,anger
2686,3321,आप जेल की देखभाल करते हैं।,neutral
2687,3324,बाय,neutral
2688,3325,मैं क्या कर सकता हूँ मैं क्या कर सकता हूँ,sadness
2689,3327,देखो यह हास्यास्पद है। हम आपको पैकिंग करना चाहिए,anger
2690,3328,हे,neutral
2691,3329,महान Monica चलती,joy
2692,3331,वास्तव में फिर आपके सभी सामान इस बॉक्स में कैसे आते हैं,surprise
2693,3332,ठीक है तुम लोग। आप लोग मुझे लगता है कि मुझे क्या पता है ठीक है तुम लोग,neutral
2694,3333,कोई Phoebe मैं पागल हूँ,anger
2695,3334,ठीक है गहरी गहरी दीप नीचे,neutral
2696,3335,हाँ मैं,anger
2697,3336,फिर दौड़ते रहें।,neutral
2698,3337,नमस्ते,neutral
2699,3338,ओह यहाँ कि खाई कोट है कि आप चाहते हैं।,neutral
2700,3339,ओह महान वाह हाँ यह आरामदायक है।,joy
2701,3340,हाँ,neutral
2702,3342,क्या हम लंदन के बारे में बात कर रहे हैं,neutral
2703,3343,नहीं,neutral
2704,3344,मुझे खेद है।,neutral
2705,3345,यह सिर्फ इसलिए है क्योंकि मैं वहां नहीं रह सकता।,neutral
2706,3346,मैं अभी भी ऐसा करना चाहता हूं कि मैं गर्भवती हूं।,sadness
2707,3347,Sorry,neutral
2708,3348,क्या हुआ,neutral
2709,3349,खैर yknow इसमें से थोड़ा इसमें से थोड़ा। कल रात को अपने आप को एक तारीख मिला।,neutral
2710,3350,मैं नहीं जानता आप पहले से ही रॉस पर हो रहे हैं,joy
2711,3351,खैर,neutral
2712,3353,मैंने सिर्फ़ क्या किया,surprise
2713,3354,शाह,neutral
2714,3355,शाह,neutral
2715,3356,डॉन बात करने की कोशिश नहीं करते क्या आपको अपने कमरे में ले जाएगा क्या आप अपने पैरों को सोखेंगे,neutral
2716,3357,ओह धन्यवाद।,neutral
2717,3358,यह इतना मीठा है,joy
2718,3359,हाँ।,neutral
2719,3361,मुझे इसके बारे में बताएं मुझे लगता है कि मैं मैं अपने आप में किले को पकड़ रहा हूं।,neutral
2720,3362,यह,neutral
2721,3363,हाँ।,neutral
2722,3364,एक मिनट की प्रतीक्षा करें,surprise
2723,3365,नहीं,anger
2724,3366,मैं,surprise
2725,3367,मैं क्या हूँ,surprise
2726,3368,कैसे छोटे अपने पैर हैं,neutral
2727,3369,,surprise
2728,3370,उह क्या आप वहाँ बैठे हैं। मैं अपने दोस्त रॉस के लिए इसे बचा रहा हूँ,neutral
2729,3371,आप डॉ गेलर का मतलब है,neutral
2730,3372,डॉक्टर वाह मुझे पता नहीं था कि उसके पास एक उपनाम था।,surprise
2731,3373,ओह उसने जीता,neutral
2732,3374,केवल सफेद कोट में लोग वहां पर बैठते हैं और केवल ब्लू ब्लेज़र में लोग यहां बैठते हैं।,neutral
2733,3376,ओके,neutral
2734,3377,उह सुनिए क्या आप काथी डाल सकते हैं मैं माफी मांगना चाहता हूं।,sadness
2735,3378,ओह योआ आदमी। जॉय,neutral
2736,3379,हे,neutral
2737,3380,क्यों नहीं,neutral
2738,3381,याहनहीं माफी बंद करो यह ठीक है,neutral
2739,3383,मैं कल आपसे बात करूँगा।,neutral
2740,3384,मुझे उह होना चाहिए शायद जाना चाहिए।,neutral
2741,3386,मैं अपना पर्स भूल गया।,neutral
2742,3387,ओह,neutral
2743,3388,नहीं मैं वास्तव में अपने पर्स को भूल गया।,neutral
