,Translated_Utterance,Emotion
1453,यही नियम है।,neutral
1454,"नियम क्या है? कोई नियम नहीं है, अगर कुछ भी है, तो आप मुझे एक सारणी देते हैं!",anger
1455,आप कैसे उस पर पहुँच सकते हैं?,non-neutral
1456,"ठीक है, मुझे लगता है कि फर्नीचर का टुकड़ा एंजेला डेल्वेक्चिओ के साथ अपने छोटे नाश्ते के साहसिक तक ठीक था",non-neutral
1457,क्या आप जानते हैं?,surprise
1458,"ठीक है, चलो बस कहते हैं कि आप मक्खन में किए गए छापों ने कल्पना को थोड़ा छोड़ दिया।",disgust
1459,अगर हम इसे विभाजित करते हैं तो ठीक है?,neutral
1460,"आपको क्या मतलब है, जैसे, इसे एक साथ खरीदते हैं?",non-neutral
1461,यहा,neutral
1462,आपको लगता है कि हम इस तरह के कुछ के लिए तैयार हैं?,non-neutral
1463,क्यों नहीं?,neutral
1464,"ठीक है, यह एक बहुत बड़ी प्रतिबद्धता है, मेरा मतलब है, यदि हम में से कोई बाहर निकलना चाहता है?",neutral
1465,क्यों?,non-neutral
1466,मैं बाहर नहीं जा रहा हूँ।,neutral
1467,यदि आप सही ढंग से चल रहे हैं तो आप मुझे बता सकते हैं,fear
1468,"Yeah, Yah, यह सिर्फ इतना है कि मेरे पिछले रूममेट Kip ...",neutral
1469,"Aw, I know all about Kip!",non-neutral
1470,"यह सिर्फ इतना है कि हमने एक साथ हिबाची खरीदी, और फिर वह भाग गया और शादी कर ली, और चीजें बहुत बदसूरत हो गईं।",non-neutral
1471,"ठीक है, मुझे तुमसे कुछ पूछो?",non-neutral
1472,"Aw, नहीं करते कि",non-neutral
1473,"ओह, ओह नहीं! मुझे जाना है! मेरे पास एक मालिश नियुक्ति है।",non-neutral
1474,"नहीं, हम यहाँ रहते हैं? मैं तुम्हें भुगतान करूँगा।",neutral
1475,"नहीं, मुझे इससे पहले परेशानी में पड़ी। मैं आपको बाद में देखता हूँ।",neutral
1476,बिल्कुल। मैं जिस तरह से आप चुंबन प्यार करता हूँ।,joy
1477,हे मेरे परमेश्वर! हे मेरे परमेश्वर! मैं?,non-neutral
1478,क्या यह भूल जाता है?,neutral
1479,आपको लगता है कि आप मेरी बेटी को नॉक कर सकते हैं और फिर उससे शादी नहीं कर सकते? मैं तुम्हें मार रहा हूँ!,anger
1480,क्या यह वास्तव में मेरे लिए एक महान समय नहीं है?,sadness
1481,नमस्ते! इसलिए हम सिर्फ शादी करते रहेंगे।,joy
1482,हाँ!,joy
1483,मैं हर किसी को श्रीमती गेलर कहते हैं!,joy
1484,वाह! यह इतना अद्भुत है। मुझे वास्तव में सोचा कि मुझे क्या करना है?,non-neutral
1485,"ठीक है, अब मैं??????????????????",fear
1486,"मैं? I, I can?",non-neutral
1487,क्या है?,surprise
1488,"ओके, देखो, यह कैसे है?",neutral
1489,वास्तव में?,non-neutral
1490,मेरा मतलब है कि आप कुछ फॉर्म को एक बार और थोड़ी देर में भर देते हैं और बॉक्स की जांच करने के बजाय कहते हैं Ms you check the box that says Mrs.!,joy
1491,यह?,neutral
1492,"ओह, ठीक है, मैं?",sadness
1493,आप?,neutral
1494,क्या?,neutral
1495,"हम बिल्कुल शादी कर सकते हैं, क्योंकि मैं इस धारणा के तहत था कि बक्से अब तक थे",non-neutral
1496,मैं आपसे पूछ रहा हूँ कि मैं क्या करूं?,neutral
1497,तुम मेरी पत्नी हो!,non-neutral
1498,मेरी पत्नी के रूप में मुझे लगता है कि आपको मुझे यह पक्ष देना चाहिए।,neutral
1499,हे मेरे परमेश्वर!,surprise
1500,"मैं जानता हूँ, मैं जानता हूँ, मैं ऐसा हूँ।",non-neutral
1501,मुझे लगता है कि जब वह सप्ताह में चार से पांच बार दंत चिकित्सक के पास जाना शुरू कर दिया तो मुझे पकड़ा जाना चाहिए।,non-neutral
1502,"मेरा मतलब है, कैसे साफ दांत प्राप्त कर सकते हैं?",non-neutral
1503,"मेरे भाई के पास अभी चल रहा है, वह ऐसा गड़बड़ है। आप इसे कैसे प्राप्त कर सकते हैं?",neutral
1504,"अच्छी तरह से, आप गलती से उसकी कीमती कुछ तोड़ने की कोशिश कर सकते हैं, उसे कहना",neutral
1505,-leg?,neutral
1506,यह एक रास्ता है! मैं देखता हूँ।,neutral
1507,आप वास्तव में अपनी घड़ी को तोड़ सकते हैं?,surprise
1508,"ओह, तुमसे स्पष्ट है।",surprise
1509,यह सही है।,neutral
1510,"बैरी, मुझे खेद है ...",sadness
1511,मैं बहुत खुश हूँ...,sadness
1512,"मुझे पता है कि आप शायद सोचते हैं कि यह सब मेरे बारे में क्या है? यह नहीं है, यह मेरे बारे में है, और मैं जू- हाय, मशीन ने मुझे फिर से काट दिया।",sadness
1513,"कोई वास्तविक शहद नहीं, वास्तव में यह ठीक है, सिर्फ सुसान के साथ जी-गो।",neutral
1514,"वास्तव में, मैं नहीं, मुझे लगता है कि लड़कियों रात बाहर एक महान विचार है।",non-neutral
1515,"ओके, ठीक, अलविदा",neutral
1516,वे क्या कर रहे हैं?,neutral
1517,"मैं नहीं जानता, कुछ girlie।",non-neutral
1518,"हे, तुम? जल्दी हो जाओ।",neutral
1519,क्या आप दीपक के साथ क्या कर रहे हैं?,surprise
1520,मैं?,neutral
1521,"ओह, अच्छी तरह से करते हैं? इसे उसी स्थान पर नहीं लेते जहाँ आपने स्टीरियो लिया था, क्योंकि उनके पास एक सप्ताह से अधिक समय तक था।",disgust
1522,"नहीं, नहीं, श्री हेकल यहाँ कोई भी शोर नहीं बना रहा है।",neutral
1523,आप? मेरी ओबे अभ्यास को परेशान कर रहे हैं।,anger
1524,आप क्या करते हैं?,non-neutral
1525,मैं ओबे खेल सकता हूँ!,anger
1526,ओह! यह बहुत मीठा है!,joy
1527,"ओके, ओके देखो, मुझे पता है कि मैं आज मिस्टर अनुचित हूँ, लेकिन यह सिर्फ इतना कठिन है, मेरा मतलब है कि आप घूमते हैं और मैं सिर्फ आपको छूना चाहता हूं और आपको पकड़ता हूं, कोई भी चारों ओर नहीं आया, बस मुझे चूमना।",joy
1528,"सब ठीक है, यह है !! उसे बंद करो!",anger
1529,क्या चल रहा है?,surprise
1530,क्या है? क्या हो रहा है?,anger
1531,रॉस!,surprise
1532,मैं अपने स्टोर में बीस मिनट के लिए टाई पाने की कोशिश कर रहा हूँ!,anger
1533,मुझे क्या करना है?,anger
1534,हाय रच।,neutral
1535,रॉस?,neutral
1536,हाँ?,neutral
1537,क्या यह मोना है? शादी से।,joy
1538,ओह हाय!,joy
1539,हाय!,joy
1540,वाह! Uh!,surprise
1541,मैं क्या अच्छा हूँ?,neutral
1542,"क्या है? खैर उह, क्या आप एक यूक्रेनी फिल्म को देखने में रुचि रखते हैं?",non-neutral
1543,क्या आप गंभीर हैं? ज़रूर!,surprise
1544,महान! खैर umm,non-neutral
1545,मुझे लगता है कि मुझे एक कप कॉफी की आवश्यकता हो सकती है।,neutral
1546,"ज़रूर! उह, मुझे इसे य के लिए प्राप्त करते हैं।",neutral
1547,ओके,neutral
1548,"देखो, मैं वास्तव में बुरा महसूस करता हूं कि मैं आपको पहले कैसे डराता हूं, इसलिए मैंने पिता को बुलाया और उसे यहां मिलने के लिए कहा ताकि आप उसे बता सकें।",sadness
1549,जाओ!,anger
1550,क्या? हे इंतजार एक मिनट! क्या आप जानते हैं कि कौन है?,surprise
1551,"मैं कभी-कभी फोल खेल सकता हूं, लेकिन मैं? एक सुंदर गोरा लड़की से थोड़ा अधिक हूँ, जिसमें एक ऐसा होता है जो जीतता है?",anger
1552,मुझे विश्वास है कि यह आपके बच्चे के पिता से संबंधित है।,neutral
1553,"हे भगवान ओह, वह अभी वहाँ?",surprise
1554,उह-हुह अब आप मुड़ सकते हैं या आप वहां जा सकते हैं और बैंड-एड को बंद कर सकते हैं। आप क्या करना चाहते हैं?,neutral
1555,"उह, चलो?",non-neutral
1556,वास्तव में? क्या आप निश्चित हैं?,surprise
1557,ओह Phoebe!,joy
1558,"ठीक है, क्षमा करें। हाँ।",neutral
1559,हे रैच।,neutral
1560,"हे, इन टिकटों, चांदलर के लिए बहुत धन्यवाद।",joy
1561,"ओह अच्छी तरह से, यह मेरे लिए वास्तव में महत्वपूर्ण अनुभव था, और मैं इसे आपके साथ साझा करना चाहता था।",joy
1562,"ओह, आप इतने अद्भुत हैं।",joy
1563,मुझे क्यों पसंद नहीं? अध्याय एक: मेरी पहली अवधि।,non-neutral
1564,"क्या आपको लगता है कि तुम लोग खरीद सकते हैं, अपनी धीमी मौत का आनंद लें।",non-neutral
1565,मुझे लगता है कि वहाँ यौन संबंध रखने वाले लोग हैं।,non-neutral
1566,"यह मुझे नहीं हो सकता, मैं यहाँ खड़ा हूँ।",neutral
1567,Wanna peek?,neutral
1568,नहीं!,disgust
1569,आओ!,surprise
1570,क्या? मैं तुम्हें बिना माँ के पसंद नहीं करता। आओ।,non-neutral
1571,हम peeking नहीं हैं?,non-neutral
1572,खैर मैं peeking हूँ। हे मेरे परमेश्वर!,surprise
1573,"नमस्कार, आप मोनिका जानते हैं।",neutral
1574,चांदलर शानदार है !!,joy
1575,क्या?,surprise
1576,"हे भगवान, हम सिर्फ क्लिक करते हैं!",joy
1577,कैसे लोग सिर्फ क्लिक करते हैं?,joy
1578,"जैसा कि वह मुझे लेने के लिए आया था, और मैंने दरवाजा खोला, और यह सिर्फ इसी तरह था, क्लिक करें!",joy
1579,क्या वह आपको बताता है?,surprise
1580,....,non-neutral
1581,"ओह, और वह? क्या?",joy
1582,"ओह, मैं जानता हूँ ...",non-neutral
1583,"ओह, मुझे पता है और वह? सुनो, उन्होंने कहा कि वह कॉल करने जा रहा था, इसलिए उसे सीधे माध्यम से डाल दिया।",joy
1584,क्या?,joy
1585,क्या?,neutral
1586,नमस्ते।,neutral
1587,"हाय, स्वीटी!",joy
1588,नमस्ते।,neutral
1589,"हाय, रॉस।",neutral
1590,"Yeah, huh।",neutral
1591,मुझे कुछ बुरी खबर मिली।,sadness
1592,क्या?,fear
1593,"मैं खाने के लिए एक त्वरित काटने प्राप्त कर सकता हूं, लेकिन फिर मुझे यहां वापस आना पड़ता है।",neutral
1594,"स्वीटी पर आओ! आप पिछले दो सप्ताह के लिए हर रात देर से काम करना चाहते थे, इस समय क्या है?",non-neutral
1595,"वास्तव में, यह मेरी गलती है। मैं आज छोड़ दिया।",non-neutral
1596,"लेकिन काम पहले आता है! क्या हुआ? बाहर जला? सभी को जलाना, ya?",non-neutral
1597,"Nooo, वह बेहतर काम के लिए छोड़ देता है।",neutral
1598,"ओह अच्छी तरह से कि? महान, इसलिए मुझे लगता है कि यह आह है, यह तब अच्छा बाई है। हुह? गुड बाय",non-neutral
1599,"ठीक है, फिर।",neutral
1600,ओके,neutral
1601,क्या हम आपको यहां याद करते हैं?,sadness
1602,"हाँ, मुझे भी।",sadness
1603,"इसलिए, शनिवार को या देखें।",neutral
1604,"Yeah, you bet.",neutral
1605,Whazzup?,neutral
1606,3 साल पहले.,non-neutral
1607,"सुनो, क्या आप मुझे एक पक्ष कर सकते हैं?",neutral
1608,मैं आज बाहर हूँ।,neutral
1609,क्या आप सिर्फ जॉय पर नजर रख सकते हैं?,neutral
1610,आप उसे विश्वास नहीं करते?,surprise
1611,मुझे लगता है कि जाँच उस तरह है।,neutral
1612,अहम,neutral
1613,"मोनिका इसका सामना करते हैं, चांदलर शादी के खिलाफ है। और हमेशा होगा!",neutral
1614,कुछ लोग जो मुझसे शादी करना चाहते हैं।,non-neutral
1615,क्या हैं?,surprise
1616,हाँ! रिचर्ड!,non-neutral
1617,R-Richard ने कहा कि वह आपसे शादी करना चाहता है? और चांदलर?,surprise
1618,यही है?,neutral
1619,चांदलर,neutral
1620,आपने मुझे बताया कि वह शादी से नफरत करता है!,surprise
1621,वह एक जटिल साथी है जो एक पत्नी को लेने की संभावना नहीं है!,non-neutral
1622,वह शादी के खिलाफ है और हमेशा होगा!,non-neutral
1623,तुम हो,neutral
1624,"आप जानते हैं कि शायद यह नहीं पता था, लेकिन हाई स्कूल में वापस, मेरे पास एक, उम, मेजर क्रश था।",fear
1625,मुझे पता था।,neutral
1626,तुमने किया! Oh.... मैंने हमेशा आपको सोचा कि मैं मोनिका के पुराने भाई थे।,surprise
1627,मैंने किया।,neutral
1628,ओह,sadness
1629,"सुनिए, क्या आपको लगता है- और मेरी गहन कमजोरी को यहां किसी भी प्रकार का कारक नहीं बनने की कोशिश करें? लेकिन क्या आपको लगता है कि अगर मैंने आपसे पूछा तो क्या होगा?",fear
1630,कुछ समय?,neutral
1631,शायद?,neutral
1632,शायद...,non-neutral
1633,"ठीक है, शायद मैं...",joy
1634,क्यों?,surprise
1635,"ठीक है, मैंने सोचा कि यह? मुझे मेरे दोस्त के लिए कुछ अच्छा करने के लिए अच्छा लग रहा है।",neutral
1636,"खैर, तुम?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????",joy
1637,नहीं,neutral
1638,"अगर यह कहीं नहीं दिखाई देता है तो टीवी! कि? मैं, कैसे आप इस सामान को बर्दाश्त?",surprise
1639,"खैर, y? मैं? हूँ 29। मेरा मतलब है कि कौन बचत खाता की जरूरत है।",non-neutral
1640,"ओह, आप सबसे अच्छे दोस्त हैं जो कभी नहीं थे।",joy
1641,"ओह, मैं क्या जानता हूँ?",non-neutral
1642,Oh-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-!,joy
1643,"आप ऐसा करते हैं, आप मुझे महान सलाह देते हैं, और हे सुनते हैं, मैं सोच रहा था कि आप क्या सोचते हैं?",joy
1644,आपका मतलब कैसी है।,neutral
1645,"No-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-, मुझे लगता है कि मैं? वह बहुत शांत है।",neutral
1646,या केसी।,neutral
1647,"No-no, Kathy.",neutral
1648,केसी हो सकता है।,neutral
1649,"No. No., Kathy.",neutral
1650,केसी पर विचार करें।,neutral
1651,क्या मैं सोचता हूँ?,non-neutral
1652,मुझे लगता है कि किसी को? केसी पर थोड़ा क्रश मिलता है।,joy
1653,मैं आपको दो बार कैसे ठीक करूं?,non-neutral
1654,आप क्या सोचते हैं?,non-neutral
1655,मेरे जीवन के सभी टुकड़े सही जगह पर गिर रहे हैं!,joy
1656,"हे, किसी को रस्सी की लंबाई लगभग छह फीट लंबी होती है, जो अंत में थोड़ा कम शोर के साथ होती है?",neutral
1657,क्या?,neutral
1658,मैंने सिर्फ जेनिस को देखा।,neutral
1659,"क्या? हर बार जब मैं आपका चेहरा देखता हूँ, मैं मदद नहीं कर सकता बल्कि अनुग्रह से गिर सकता हूँ। ..",non-neutral
1660,वाह! यह लड़की अच्छा है।,non-neutral
1661,"ओह! शब्दों के साथ एक गीत। Oo, मैं पहले कभी नहीं सोचा था।",non-neutral
1662,मैं उसे पसंद करता हूँ।,neutral
1663,क्यों? क्योंकि वह गाना और गिटार बजा सकती है और उसी समय दोनों कर सकती है?,neutral
1664,"खैर, कि? बहुत ज्यादा मैं?",neutral
1665,आप को देखो। सभी ईर्ष्या।,non-neutral
1666,"Yeah Pheebs, पर आते हैं, आप दो पूरी तरह से अलग शैलियों है। Y'know, she??????",neutral
1667,meeeeeeeeeeeee,neutral
1668,"ठीक है, देखें, देखें, हर कोई खुश है?",non-neutral
1669,"ओके, मेरा अगला गीत? क्या मैं कह सकता हूँ?",neutral
1670,"मैं वास्तव में प्यार करता हूँ जब हम वे हैं गायन पार्टनर्स, और मैं चाहता हूँ? क्या तुमने उस रास्ते को छोड़ दिया है।",neutral
1671,"ओह नहीं, उनमें से एक छिपे अर्थ? गीतों के लिए देखो।",neutral
1672,"हाँ, नमस्ते।",neutral
1673,मैं एक सवाल है।,neutral
1674,"Umm, मैं अपने दोस्त के चेहरे पर आकर्षित करने के लिए अपने कलम का इस्तेमाल किया।",neutral
1675,एक दाढ़ी और एक मूंछ।,neutral
1676,धन्यवाद।,neutral
1677,नहीं,neutral
1678,क्या? उसने क्या कहा?,surprise
1679,उम्म ने कहा कि उन्होंने सोचा कि मैं मजाकिया था।,neutral
1680,To go downstairs.,neutral
1681,"रॉस, नहीं! वहाँ है",non-neutral
1682,ओह! यह बुरा नहीं है।,neutral
1683,"रॉस, मैं एक मानव doodle हूँ!",non-neutral
1684,"देखो, सिर्फ इसलिए क्योंकि आपके चेहरे पर कुछ मुहावरे का मतलब यह नहीं है कि आपको कोई मजाक नहीं होना चाहिए!",neutral
1685,ओके?,neutral
1686,"इसके अलावा, हे-हे-हे",neutral
1687,"ओके, वहाँ था",neutral
1688,आओ!,non-neutral
1689,"ओह इंतजार, क्या आपको अपने, busty महिलाओं के लिए भुगतान करना होगा?",non-neutral
1690,"नहीं, यह? कुछ बच्चे ने मुझसे पूछा कि उसे उसके लिए उठाओ, लेकिन मैं क्या नहीं करता?",neutral
1691,ओह हाँ? ओके,neutral
1692,ओके,neutral
1693,लेकिन! क्या आप उसे अपने पैसे वापस दे सकते हैं?,surprise
1694,"उह-हुह हे! Sorry, आप के लिए कोई अश्लील नहीं है। ओके, चलो?",non-neutral
1695,हे मेरे परमेश्वर! आप क्या कर रहे हैं?,surprise
1696,"आपने कहा, आप कुछ नींबू के लिए आना चाहते हैं?",neutral
1697,तो?,non-neutral
1698,"Whoa, ah!! क्या आप मुझे कुछ नींबू खा सकते हैं?",surprise
1699,हाँ! अपने आप को कवर करें!,non-neutral
1700,"सही, सही",neutral
1701,"मैं क्या करता हूँ? जब कोई आपको नींबू के लिए पूछता है, और आपको इसका मतलब है कि वे यौन संबंध बनाना चाहते हैं?",non-neutral
1702,खैर आमतौर पर...आह!,surprise
1703,"ठीक है, न केवल नींबू, आइस्ड चाय, कभी-कभी रस।",neutral
1704,मैंने सोचा कि तुम मुझे पसंद करते हो।,neutral
1705,मैं?,sadness
1706,"यह क्या है? मुझे लगता है कि यह किसी के लिए हो सकता है, नहीं मैं जानता हूँ, लेकिन ... जिस तरह से मैं अभी भी इसे देख सकता हूँ।",neutral
1707,यह बहुत अच्छा है।,joy
1708,"ठीक है, मैं एक सवाल है। वास्तव में, यह इतना सवाल नहीं है।",neutral
1709,ठीक है।,neutral
1710,"ठीक है। यहां चला जाता है। थोड़ी देर के लिए, मैं चाहता हूँ, मैं चाहता हूँ ....",neutral
1711,ओह!,surprise
1712,"हाँ, हाँ, यह सही है ...",neutral
1713,"ओह, छोटी बिल्ली को देखो!",surprise
1714,क्या? Ow!,surprise
1715,"ठीक है, मैं शायद कुछ बिंदु पर ऐसा करने जा रहा था।",neutral
1716,मैं मतलब नहीं था,neutral
1717,क्यों नहीं?,non-neutral
1718,यह शानदार है!,joy
1719,"गुडबाय माइक, हम आपको शादी में देखेंगे, गिर गया!",joy
1720,हम शायद आपको शादी के लिए आमंत्रित नहीं करेंगे ...,neutral
1721,"धन्यवाद, चांदलर",neutral
1722,ईमानदारी से।,neutral
1723,"खैर, आपका स्वागत है! मैं मदद कर सकता हूँ।",joy
1724,मुझे क्या करना चाहिए?,non-neutral
1725,"डेविड, मैं करने का वादा कर रहा हूँ",neutral
1726,"ठीक है, आपके पास 19 प्रश्न हैं। उन्हें बुद्धिमानी से प्रयोग करें। Joey! आप क्या कर सकते हैं?",joy
1727,क्या?,surprise
1728,"खैर, आपने मुझे एक मजेदार सड़क यात्रा का वादा किया!",joy
1729,हम छह घंटे सड़क पर रहे हैं और आप? पांच और आधे के लिए सो रहे हैं!,anger
1730,हम अगले बाकी स्टॉप पर स्विच कर रहे हैं और,non-neutral
1731,ठीक है। ठीक है।,neutral
1732,हाँ! और तब तक आप मुझे गाना चाहते हैं क्योंकि रेडियो? टूट गया और आप स्वार्थी हैं लेकिन एक अच्छी आवाज है।,non-neutral
1733,वास्तव में? मैं नहीं?,surprise
1734,गाना,anger
1735,"मैन, यह एक लंबी ड्राइव है! क्या मेरी आँखें खुली हैं? नहीं!",non-neutral
1736,सुबह!,joy
1737,सब कुछ स्वादिष्ट था!,joy
1738,धन्यवाद!,joy
1739,यह था। विशेष रूप से बतख शानदार था।,joy
1740,धन्यवाद! आपने कुछ नहीं कहा है ...,joy
1741,वास्तव में मेरे पास एक छोटी शिकायत है।,neutral
1742,Oh!I-I स्वागत आलोचना।,neutral
1743,रेस्तरां के बाहर संगीतकार सही ... यह एक मूड-किलर की तरह है!,non-neutral
1744,संगीतकार क्या?,surprise
1745,हमने किया?,neutral
1746,आप मुझे 20 रुपये देते हैं।,non-neutral
1747,धन्यवाद। बहुत धन्यवाद!,joy
1748,"चांदलर, यहाँ तुम जाओ, अपने पारंपरिक मिल गया धन्यवाद दावत, आपको अपना टमाटर का सूप, आपका ग्रिल्ड पनीर फिक्सिन और फनीयून का आपका परिवार आकार बैग मिला।",neutral
1749,"प्रतीक्षा करें, प्रतीक्षा करें, चांदलर, यह क्या है?",surprise
1750,क्या है?,non-neutral
1751,"ठीक है, मैं नौ साल का हूँ।",neutral
1752,"ओह, मैं इस कहानी से नफरत करता हूँ।",non-neutral
1753,हम सिर्फ इस शानदार धन्यवाद रात्रिभोज समाप्त हो गए।,neutral
1754,"मेरे पास है-और मैं इस भाग को स्पष्ट रूप से याद करता हूं- पंप्किन पाई का एक माउथफुल, और यह वह क्षण है जब मेरे माता-पिता मुझे बताते हैं कि उन्हें तलाक मिल रहा है।",sadness
1755,हे मेरे देवता।,surprise
1756,हाँ। एक बार जब आप इसे रिवर्स में देखते हैं तो एक धन्यवाद डिनर की सराहना करना बहुत मुश्किल है।,sadness
1757,"हे, कौन यह छोटा लड़का है?",surprise
1758,वह छोटा लड़का मुझे हो सकता है।,neutral
1759,"Aww, छोटी सी चीज़ को देखो।",surprise
1760,"हाँ, हाँ, ठीक है, यह मेरा पैसा है। क्या हम अभी हो सकते हैं?",non-neutral
1761,वे कौन हैं?,surprise
1762,मुझे मिला।,surprise
1763,"ओह, यह नाना है, ठीक बीच में है। 'मैं और जावा जो' में गिरोह'।",neutral
1764,"वो, मोनिका, आप अपनी दादी की तरह दिखते हैं। वह कहाँ थी?",surprise
1765,"चलो देखते हैं, 1939... हाँ, 24, 25?",neutral
1766,एक मजेदार गिरोह की तरह लग रहा है।,neutral
1767,"Ooh, look-look-look-look-look! मुझे मिल गया मोनिका नग्न!",joy
1768,"Nono, यह मुझे फिर से होगा। मैं हूँ, उह, सिर्फ कुछ कोशिश कर रहा हूँ।",non-neutral
1769,क्या?,non-neutral
1770,"राहेल कुछ ऐसा है कि वह आपको और umm बताना चाहता है, मेरा मानना है कि यह आपका लाल स्वेटर है।",neutral
1771,नहीं यह मेरा लाल स्वेटर है।,neutral
1772,ओह क्या मुझे किसी को कॉफी या जहर मिला? नहीं? बस मेरे लिए? ओके,fear
1773,क्या?,non-neutral
1774,नहीं! Phoebe Kinda ने गलती की। लेकिन क्या आप उस स्वेटर को बहुत पहनते हैं?,non-neutral
1775,I???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,non-neutral
1776,मुझे पता है कि हम टूट गए क्योंकि आपको लगता है कि मैं था??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,non-neutral
1777,"ओह, यह सिर्फ सही समय नहीं है।",non-neutral
1778,यह सही समय है।,non-neutral
1779,ओके,neutral
1780,क्या?,non-neutral
1781,पसंदीदा रिटर्निंग पुरुष चरित्र की श्रेणी में नामांकित व्यक्ति हैं: जॉन व्हीलर से,neutral
1782,क्या?,surprise
1783,हाँ।,neutral
1784,"आप? एक कुंभ, huh?",neutral
1785,मैं तुम्हें हूँ? एक मिथुन हूँ।,neutral
1786,Nope।,neutral
1787,वृषभ?,neutral
1788,Nope।,neutral
1789,Virgo?,neutral
1790,Nope।,neutral
1791,धनु?,neutral
1792,Yep.,neutral
1793,"मुझे पता था! मुझे पता था, ahhh.",joy
1794,मैं आपको बताता हूँ कि क्या,neutral
1795,हाँ?,neutral
1796,क्या आप अभी नहीं जानते?,neutral
1797,मैंने जीता?,neutral
1798,क्या आप इस बात का वादा करते हैं?,neutral
1799,मैं वादा करता हूँ।,neutral
1800,और इस बीच आप उसे बेहतर ढंग से चलाने देते हैं। क्या उनका लाइसेंस है?,neutral
1801,हाँ!,neutral
1802,क्या वह छड़ी को संभाल सकता है?,neutral
1803,ओह,neutral
1804,मैं छड़ी संभाल सकता हूँ !!,non-neutral
1805,हे!,joy
1806,हे!,joy
1807,नमस्ते।,neutral
1808,Oh hi.,neutral
1809,मैं क्या कर सकता हूँ? आप कैसे कर रहे हैं?,non-neutral
1810,मैं बुरा नहीं हूँ। क्या आप जानते हैं कि जब आप चाहते हैं तो क्या आपको लगता है?,non-neutral
1811,अजीब बात है। क्या मैंने सुना? क्या यह सच है?,surprise
1812,चांदलर बिंग!,surprise
1813,Janice!,surprise
1814,"न सिर्फ जेनिस, जेनिस श्रम, अनुबंध और सब कुछ।",non-neutral
1815,"ओह, यह आसान होना चाहिए। मेरे पास बहुत व्यापक श्रोणि है। आपको चांदलर याद है।",neutral
1816,मुझे पता नहीं था कि आप गर्भवती थे! कौन जानता है कि कौन???,surprise
1817,क्या तुम? यह तुम्हारा है।,neutral
1818,क्या?,surprise
1819,देखो कैसे तंत्रिका वह हो जाता है! हमने क्या किया?,joy
1820,यह अजीब है। क्या यह चोट लगी है? क्या श्रम चोट लगी है?,fear
1821,मैं? क्या मैं रात्रिभोज में सोच रहा हूँ? क्या आप सूप या सलाद चाहते हैं? दोनों! हमेशा दोनों को ऑर्डर करें!,non-neutral
1822,y? मैं???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,neutral
1823,"मैं कहता हूं कि हम सिर्फ खिड़की को तोड़ते हैं, क्रॉल करते हैं, और हां?",neutral
1824,हाँ? वास्तव में? नहीं?,surprise
1825,मुझे ऐसा नहीं लगता। नमस्ते? जब आप वहाँ जाते हैं,neutral
1826,क्या है?,neutral
1827,मैंने देखा कि डैनी एक लड़की के साथ सबवे पर हो रही थी और उसके आसपास उसका हाथ था।,sadness
1828,"ओह, शहद, मुझे खेद है।",sadness
1829,"वैसे, आपको होना चाहिए, यह सब आपकी गलती है! आप हमारे संबंधों में रुचि रखते हैं!",anger
1830,आपके पास कोई संबंध नहीं है !!,anger
1831,"नहीं, लेकिन मैं अपनी बात कर रहा था और सब कुछ योजना के अनुसार चल रहा था!",anger
1832,"हे भगवान, योजना के साथ बंद करो!",anger
1833,इसलिए क्या आपने उसे एक लड़की के साथ देखा?,neutral
1834,कौन परवाह करता है?,anger
1835,इसका मतलब कुछ भी नहीं है!,anger
1836,"अब देखो, आप डैनी के साथ एक तारीख पर जाने जा रहे हैं और आप इतने आकर्षक हो रहे हैं कि वह उस स्टुपिड सबवे लड़की के बारे में भूल जाते हैं।",neutral
1837,वह दयालु था।,non-neutral
1838,आप सही हैं।,neutral
1839,"सब ठीक है, मैं सिर्फ़ तारीख पर जाना चाहता हूँ।",neutral
1840,मैं तारीख को जाना चाहता हूँ।,neutral
1841,यह नई योजना है।,neutral
1842,"आओ, जल्दी करो!",non-neutral
1843,नमस्ते।,neutral
1844,Phoebe!,surprise
1845,तादादा,joy
1846,हे,neutral
1847,नमस्ते।,neutral
1848,"अहम, तुम पर देखो, तुम बहुत अच्छा लग रहा है।",non-neutral
1849,"क्या मैं? धन्यवाद, तो तुम करो।",neutral
1850,धन्यवाद।,neutral
1851,स्पार्कली।,neutral
1852,"इसलिए, वाह, यह बहुत ही प्रतिभाशाली, huh है।",joy
1853,श्री प्रमुख capades आदमी।,neutral
